"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC"
"1",1,"61267b828ead584bcf092e35","smooth","RS",1.12291666666667,1.39791666666667,173,173,307,65.9858870967742,60.9324596774194,2,"smooth",0.793605007322008,-0.793605007322008
"2",2,"61267b828ead584bcf092e35","rough","RS",1.39583333333333,1.48541666666667,159,159,318,55.8790322580645,60.9324596774194,1,"rough",0.513646643303436,-0.513646643303436
"3",3,"63f787256fc87f0a297a849c","smooth","SR",1.69375,1.84375,11,11,465,60.5362903225806,59.3790322580645,1,"smooth",-1.07799154823694,1.07799154823694
"4",4,"63f787256fc87f0a297a849c","rough","SR",1.2125,1.21458333333333,224,224,255,58.2217741935484,59.3790322580645,2,"rough",1.29917459356079,-1.29917459356079
"5",5,"63d7a79e2606216262545e75","smooth","RS",2.41041666666667,2.42708333333333,35,35,415,58.7802419354839,51.7943548387097,2,"smooth",-1.44359767544792,1.44359767544792
"6",6,"63d7a79e2606216262545e75","rough","RS",4.29375,2.87083333333333,8,8,447,44.8084677419355,51.7943548387097,1,"rough",-2.80103103270918,2.80103103270918
"7",7,"60ddfb3db6a71ad9ba75e387","smooth","SR",2.75208333333333,2.9375,110,110,369,66.3064516129032,62.21875,1,"smooth",-1.4019111806589,1.4019111806589
"8",8,"60ddfb3db6a71ad9ba75e387","rough","SR",1.20833333333333,1.30416666666667,316,316,160,58.1310483870968,62.21875,2,"rough",2.03137823811808,-2.03137823811808
"9",9,"55d51a6b8ce09000127d4821","smooth","SR",1.83958333333333,1.77708333333333,267,267,212,61.2177419354839,60.5836693548387,1,"smooth",1.035853415732,-1.035853415732
"10",10,"55d51a6b8ce09000127d4821","rough","SR",1.10833333333333,1.10625,394,394,82,59.9495967741936,60.5836693548387,2,"rough",2.852693685963,-2.852693685963
"11",11,"60c5170e807210e847d41d6f","smooth","RS",1.24166666666667,1.61458333333333,254,254,226,68.7278225806452,64.5241935483871,2,"smooth",1.28797058619421,-1.28797058619421
"12",12,"60c5170e807210e847d41d6f","rough","RS",1.25625,1.47083333333333,274,274,205,60.320564516129,64.5241935483871,1,"rough",1.54212236651619,-1.54212236651619
"13",13,"62fbe4c86d484357b6adbc36","smooth","RS",2.33958333333333,2.03541666666667,5,5,469,56.0141129032258,50.5110887096774,2,"smooth",-1.52469734647692,1.52469734647692
"14",14,"62fbe4c86d484357b6adbc36","rough","RS",4.62083333333333,2.47916666666667,4,4,465,45.008064516129,50.5110887096774,1,"rough",-2.7982226273139,2.7982226273139
"15",15,"5ece3f660e92801e30440344","smooth","SR",2.87708333333333,3.16041666666667,35,35,436,54.3528225806452,53.2701612903226,1,"smooth",-2.19068861928421,2.19068861928421
"16",16,"5ece3f660e92801e30440344","rough","SR",2.50416666666667,2.45416666666667,101,101,349,52.1875,53.2701612903226,2,"rough",-0.947523179443074,0.947523179443074
"17",17,"63e51c38b573cd46809e1d72","smooth","RS",1.7375,1.84166666666667,211,211,263,63.6733870967742,60.9385080645161,2,"smooth",0.592237213841896,-0.592237213841896
