subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC
61BY7Mt6,smooth,SR,154.583.333.333.333,178.541.666.666.667,286,286,193,659.233.870.967.742,643.104.838.709.677,1,smooth,132.080.692.711.681,-132.080.692.711.681
61BY7Mt6,rough,SR,212.083.333.333.333,228.958.333.333.333,301,301,178,626.975.806.451.613,643.104.838.709.677,2,rough,0.881308177,-0.881308177
Lnl7Wt61,smooth,RS,3.525,323.541.666.666.667,17,17,458,592.721.774.193.548,553.245.967.741.935,2,smooth,-26.927.275.769.268,26.927.275.769.268
Lnl7Wt61,rough,RS,346.666.666.666.667,340.416.666.666.667,106,106,374,513.770.161.290.323,553.245.967.741.935,1,rough,-204.417.088.409.328,204.417.088.409.328
F47lyxFv,smooth,RS,20.375,211.875,7,7,472,603.286.290.322.581,547.872.983.870.968,2,smooth,-144.610.006.384.472,144.610.006.384.472
F47lyxFv,rough,RS,312.916.666.666.667,233.958.333.333.333,4,4,465,492.459.677.419.355,547.872.983.870.968,1,rough,-20.497.673.948.237,20.497.673.948.237
sAmp3xEz,smooth,RS,158.958.333.333.333,1.825,223,223,255,638.548.387.096.774,596.028.225.806.452,2,smooth,0.752078826,-0.752078826
sAmp3xEz,rough,RS,176.875,198.333.333.333.333,221,221,236,553.508.064.516.129,596.028.225.806.452,1,rough,0.647090948,-0.647090948
rNFwWQCW,smooth,RS,28.875,315.416.666.666.667,1,1,478,600.100.806.451.613,534.586.693.548.387,2,smooth,-25.108.792.526.031,25.108.792.526.031
rNFwWQCW,rough,RS,43.625,450.625,3,3,472,469.072.580.645.161,534.586.693.548.387,1,rough,-396.393.807.287.804,396.393.807.287.804
iTXbRBtS,smooth,SR,0.972916667,124.166.666.666.667,328,328,152,656.915.322.580.645,613.719.758.064.516,1,smooth,225.827.651.342.565,-225.827.651.342.565
iTXbRBtS,rough,SR,14.375,182.291.666.666.667,324,324,155,570.524.193.548.387,613.719.758.064.516,2,rough,166.505.196.146.774,-166.505.196.146.774
SRUmkf4X,smooth,RS,247.291.666.666.667,281.458.333.333.333,3,3,475,610.181.451.612.903,533.881.048.387.097,2,smooth,-209.684.005.513.405,209.684.005.513.405
SRUmkf4X,rough,RS,397.916.666.666.667,340.625,8,8,466,45.758.064.516.129,533.881.048.387.097,1,rough,-307.090.716.518.705,307.090.716.518.705
uFvx10vN,smooth,RS,0.804166667,0.989583333,366,366,111,61.383.064.516.129,600.735.887.096.774,2,smooth,282.014.209.222.337,-282.014.209.222.337
uFvx10vN,rough,RS,0.56875,0.527083333,349,349,116,587.641.129.032.258,600.735.887.096.774,1,rough,311.710.023.530.491,-311.710.023.530.491
aXJ5Rdlz,smooth,RS,189.166.666.666.667,1.95,4,4,474,609.677.419.354.839,556.078.629.032.258,2,smooth,-129.850.610.084.861,129.850.610.084.861
aXJ5Rdlz,rough,RS,226.875,170.625,3,3,472,502.479.838.709.677,556.078.629.032.258,1,rough,-131.181.416.163.671,131.181.416.163.671
51vnrcc6,smooth,RS,1.925,219.791.666.666.667,7,7,469,612.862.903.225.806,534.909.274.193.548,2,smooth,-143.213.374.678.188,143.213.374.678.188
51vnrcc6,rough,RS,294.166.666.666.667,230.833.333.333.333,9,9,462,45.695.564.516.129,534.909.274.193.548,1,rough,-191.371.597.103.846,191.371.597.103.846
zfxRAgLk,smooth,SR,139.791.666.666.667,157.291.666.666.667,253,253,226,665.161.290.322.581,646.209.677.419.355,1,smooth,124.001.714.349.761,-124.001.714.349.761
zfxRAgLk,rough,SR,143.125,147.916.666.666.667,281,281,198,627.258.064.516.129,646.209.677.419.355,2,rough,151.805.844.314.296,-151.805.844.314.296
xFsuM2g1,smooth,RS,1.375,2.05,212,212,268,673.266.129.032.258,630.524.193.548.387,2,smooth,0.6081669,-0.6081669
xFsuM2g1,rough,RS,187.083.333.333.333,174.166.666.666.667,252,252,228,587.782.258.064.516,630.524.193.548.387,1,rough,0.913532075,-0.913532075
YctMBS37,smooth,RS,0.645833333,0.879166667,292,292,185,727.177.419.354.839,637.046.370.967.742,2,smooth,233.681.085.223.976,-233.681.085.223.976
YctMBS37,rough,RS,242.708.333.333.333,181.875,121,121,344,546.915.322.580.645,637.046.370.967.742,1,rough,-0.417905548,0.417905548
t20SiRMd,smooth,SR,174.166.666.666.667,211.875,277,277,199,704.072.580.645.161,684.546.370.967.742,1,smooth,0.965894327,-0.965894327
t20SiRMd,rough,SR,1.525,175.208.333.333.333,316,316,162,665.020.161.290.323,684.546.370.967.742,2,rough,160.677.848.478.592,-160.677.848.478.592
q6XSMkDm,smooth,RS,175.625,185.625,233,233,245,655.564.516.129.032,603.901.209.677.419,2,smooth,0.742821229,-0.742821229
q6XSMkDm,rough,RS,2.875,294.375,157,157,306,552.237.903.225.806,603.901.209.677.419,1,rough,-0.997933,0.997933
8z0pLdPr,smooth,SR,132.708.333.333.333,154.375,319,319,161,656.532.258.064.516,626.572.580.645.161,1,smooth,183.956.824.135.206,-183.956.824.135.206
8z0pLdPr,rough,SR,140.416.666.666.667,155.625,334,334,145,596.612.903.225.806,626.572.580.645.161,2,rough,192.786.149.354.904,-192.786.149.354.904
7QTKYnfg,smooth,RS,146.458.333.333.333,181.666.666.666.667,260,260,219,679.012.096.774.194,647.752.016.129.032,2,smooth,111.928.877.325.366,-111.928.877.325.366
7QTKYnfg,rough,RS,154.583.333.333.333,151.666.666.666.667,279,279,201,616.491.935.483.871,647.752.016.129.032,1,rough,14.230.696.329.946,-14.230.696.329.946
U5mOdPiX,smooth,SR,0.9875,146.041.666.666.667,234,234,246,659.697.580.645.161,621.068.548.387.097,1,smooth,132.769.659.608.046,-132.769.659.608.046
U5mOdPiX,rough,SR,268.541.666.666.667,256.875,219,219,260,582.439.516.129.032,621.068.548.387.097,2,rough,-0.229947459,0.229947459
hN5cABWG,smooth,SR,126.666.666.666.667,161.666.666.666.667,237,237,240,642.741.935.483.871,622.066.532.258.064,1,smooth,114.547.281.717.573,-114.547.281.717.573
hN5cABWG,rough,SR,144.583.333.333.333,16.125,270,270,202,601.391.129.032.258,622.066.532.258.064,2,rough,136.677.369.645.614,-136.677.369.645.614
H9mdIs8c,smooth,RS,308.958.333.333.333,278.125,3,3,475,567.822.580.645.161,533.860.887.096.774,2,smooth,-23.502.666.672.443,23.502.666.672.443
H9mdIs8c,rough,RS,342.291.666.666.667,296.666.666.666.667,8,8,467,499.899.193.548.387,533.860.887.096.774,1,rough,-255.769.056.263.547,255.769.056.263.547
Juu4dboB,smooth,RS,160.416.666.666.667,197.916.666.666.667,267,267,213,65.070.564.516.129,61.116.935.483.871,2,smooth,101.191.353.027.458,-101.191.353.027.458
Juu4dboB,rough,RS,172.083.333.333.333,20.625,215,215,255,571.633.064.516.129,61.116.935.483.871,1,rough,0.514331389,-0.514331389
XXecW1bk,smooth,RS,156.458.333.333.333,181.875,95,95,381,610.423.387.096.774,562.026.209.677.419,2,smooth,-0.299670126,0.299670126
XXecW1bk,rough,RS,182.708.333.333.333,191.458.333.333.333,97,97,368,513.629.032.258.064,562.026.209.677.419,1,rough,-0.411912544,0.411912544
6en37nGl,smooth,SR,415.416.666.666.667,324.791.666.666.667,60,60,411,549.778.225.806.452,527.631.048.387.097,1,smooth,-260.180.121.842.133,260.180.121.842.133
6en37nGl,rough,SR,360.625,237.708.333.333.333,68,68,402,505.483.870.967.742,527.631.048.387.097,2,rough,-175.140.534.036.675,175.140.534.036.675
4C4MSc4v,smooth,RS,277.083.333.333.333,3.475,2,2,478,605.625,552.358.870.967.742,2,smooth,-265.220.310.270.496,265.220.310.270.496
4C4MSc4v,rough,RS,350.625,337.916.666.666.667,4,4,474,499.092.741.935.484,552.358.870.967.742,1,rough,-289.468.603.486.056,289.468.603.486.056
HloNAczZ,smooth,RS,208.541.666.666.667,17.625,3,3,476,562.681.451.612.903,513.991.935.483.871,2,smooth,-128.188.130.251.407,128.188.130.251.407
HloNAczZ,rough,RS,272.083.333.333.333,187.291.666.666.667,11,11,456,465.302.419.354.839,513.991.935.483.871,1,rough,-151.411.958.037.558,151.411.958.037.558
nSiOS8C4,smooth,RS,135.416.666.666.667,0.327083333,406,406,16,398.407.258.064.516,422.046.370.967.742,2,smooth,355.177.856.469.266,-355.177.856.469.266
nSiOS8C4,rough,RS,203.125,0.279166667,347,347,17,445.685.483.870.968,422.046.370.967.742,1,rough,303.009.928.547.764,-303.009.928.547.764
8gJqqr78,smooth,SR,162.083.333.333.333,157.083.333.333.333,23,23,436,592.237.903.225.806,527.247.983.870.968,1,smooth,-0.705088454,0.705088454
8gJqqr78,rough,SR,246.666.666.666.667,156.458.333.333.333,6,6,445,462.258.064.516.129,527.247.983.870.968,2,rough,-118.594.319.030.729,118.594.319.030.729
Wnrq6gME,smooth,RS,1.65,217.708.333.333.333,227,227,240,635.866.935.483.871,600.050.403.225.806,2,smooth,0.588802601,-0.588802601
Wnrq6gME,rough,RS,206.458.333.333.333,199.583.333.333.333,204,204,259,564.233.870.967.742,600.050.403.225.806,1,rough,0.339833377,-0.339833377
uTJQo1Bl,smooth,SR,117.291.666.666.667,130.416.666.666.667,344,344,136,640.907.258.064.516,646.229.838.709.677,1,smooth,226.539.033.564.698,-226.539.033.564.698
uTJQo1Bl,rough,SR,1.2,137.291.666.666.667,379,379,101,651.552.419.354.839,646.229.838.709.677,2,rough,250.506.400.472.151,-250.506.400.472.151
S3kUrmBH,smooth,SR,241.041.666.666.667,29.375,40,40,438,607.318.548.387.097,605.997.983.870.968,1,smooth,-183.388.739.650.207,183.388.739.650.207
S3kUrmBH,rough,SR,166.666.666.666.667,1.925,193,193,274,604.677.419.354.839,605.997.983.870.968,2,rough,0.45084887,-0.45084887
asRaqoTr,smooth,RS,0.8125,116.666.666.666.667,211,211,267,612.600.806.451.613,585.322.580.645.161,2,smooth,140.135.937.691.552,-140.135.937.691.552
asRaqoTr,rough,RS,0.910416667,0.96875,245,245,225,55.804.435.483.871,585.322.580.645.161,1,rough,179.899.496.662.341,-179.899.496.662.341
Kmn8cizr,smooth,SR,257.083.333.333.333,261.458.333.333.333,68,68,389,612.116.935.483.871,562.953.629.032.258,1,smooth,-138.257.726.688.421,138.257.726.688.421
Kmn8cizr,rough,SR,424.166.666.666.667,370.208.333.333.333,59,59,415,513.790.322.580.645,562.953.629.032.258,2,rough,-294.107.464.076.594,294.107.464.076.594
Dn98KoCr,smooth,SR,118.958.333.333.333,149.791.666.666.667,271,271,207,667.459.677.419.355,640.675.403.225.806,1,smooth,153.410.783.350.343,-153.410.783.350.343
Dn98KoCr,rough,SR,0.839583333,0.854166667,359,359,119,613.891.129.032.258,640.675.403.225.806,2,rough,282.466.932.170.813,-282.466.932.170.813
3z1KJ48X,smooth,RS,320.208.333.333.333,32.125,18,18,452,588.084.677.419.355,521.733.870.967.742,2,smooth,-250.565.451.953.803,250.565.451.953.803
3z1KJ48X,rough,RS,644.583.333.333.333,581.458.333.333.333,12,12,462,455.383.064.516.129,521.733.870.967.742,1,rough,-561.420.030.879.069,561.420.030.879.069
mfVFCnTo,smooth,SR,2.5,299.583.333.333.333,143,143,336,655.766.129.032.258,612.328.629.032.258,1,smooth,-104.862.260.488.898,104.862.260.488.898
mfVFCnTo,rough,SR,3,341.875,192,192,288,568.891.129.032.258,612.328.629.032.258,2,rough,-112.347.515.763.961,112.347.515.763.961
Pq02RK1l,smooth,SR,155.833.333.333.333,193.333.333.333.333,232,232,244,672.137.096.774.194,622.872.983.870.968,1,smooth,0.783384376,-0.783384376
Pq02RK1l,rough,SR,193.958.333.333.333,177.708.333.333.333,235,235,241,573.608.870.967.742,622.872.983.870.968,2,rough,0.735326961,-0.735326961
vn06WZQ7,smooth,SR,15.375,172.083.333.333.333,308,308,171,652.661.290.322.581,624.526.209.677.419,1,smooth,154.902.084.785.929,-154.902.084.785.929
vn06WZQ7,rough,SR,240.625,249.583.333.333.333,291,291,188,596.391.129.032.258,624.526.209.677.419,2,rough,0.543679247,-0.543679247
YvLLapPi,smooth,SR,178.541.666.666.667,197.708.333.333.333,203,203,277,671.391.129.032.258,636.663.306.451.613,1,smooth,0.395105893,-0.395105893
YvLLapPi,rough,SR,229.166.666.666.667,224.166.666.666.667,252,252,225,601.935.483.870.968,636.663.306.451.613,2,rough,0.431765735,-0.431765735
