"","X.1","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"1",1,1,"61267b828ead584bcf092e35","smooth","RS",1.12291666666667,1.39791666666667,173,173,307,65.9858870967742,60.9324596774194,2,"smooth",0.793605007322008,-0.793605007322008,2,0.639583333333333,0.360416666666667,0.643074682582688,0.308546127501353,0.0571029255088451,-0.0459456761504618,0.0746386386254536,0.125220908332521,1311.43271865086,-11,14,-0.27291666666666,-0.0874999999999999,-0.191738587962045,-0.510679899955632,-1.2433416413198
"2",2,2,"61267b828ead584bcf092e35","rough","RS",1.39583333333333,1.48541666666667,159,159,318,55.8790322580645,60.9324596774194,1,"rough",0.513646643303436,-0.513646643303436,2,0.6625,0.33125,0.714837106442188,0.259825314367078,0.0427993772959892,-0.0459456761504618,0.0746386386254536,0.125220908332521,1200.2091281789,-11,14,-0.27291666666666,-0.0874999999999999,-0.145792911811583,-0.585318538581085,-1.36856254965232
"3",3,3,"63f787256fc87f0a297a849c","smooth","SR",1.69375,1.84375,11,11,465,60.5362903225806,59.3790322580645,1,"smooth",-1.07799154823694,1.07799154823694,2,0.96875,0.0229166666666667,0.633551001618579,0.532482458388323,0.0871583669128845,0.0481140060269657,0.379053010678579,0.348426078260283,1324.74127351829,210,-213,0.48125,0.62916666666667,-0.198218418144465,-0.273694694650985,-1.05969091572921
"4",4,4,"63f787256fc87f0a297a849c","rough","SR",1.2125,1.21458333333333,224,224,255,58.2217741935484,59.3790322580645,2,"rough",1.29917459356079,-1.29917459356079,2,0.53125,0.466666666666667,0.567110353153728,0.222460185318229,0.0390735621884768,0.0481140060269657,0.379053010678579,0.348426078260283,1114.21156132196,210,-213,0.48125,0.62916666666667,-0.246332424171431,-0.652747705329565,-1.4081169939895
"5",5,5,"63d7a79e2606216262545e75","smooth","RS",2.41041666666667,2.42708333333333,35,35,415,58.7802419354839,51.7943548387097,2,"smooth",-1.44359767544792,1.44359767544792,2,0.864583333333333,0.0729166666666667,9.14963408170093,0.915143898612329,0.0804264641084382,1.14353926435209,0.379147999639434,0.0566114919085394,1833.72526249046,-32,27,-1.88333333333333,-0.44375,0.961403725817725,-0.0385106114421032,-1.09460102432182
"6",6,6,"63d7a79e2606216262545e75","rough","RS",4.29375,2.87083333333333,8,8,447,44.8084677419355,51.7943548387097,1,"rough",-2.80103103270918,2.80103103270918,2,0.93125,0.0166666666666667,0.657452621597311,0.382244626495713,0.0705972011709169,1.14353926435209,0.379147999639434,0.0566114919085394,1785.4519590189,-32,27,-1.88333333333333,-0.44375,-0.182135538534369,-0.417658611081537,-1.15121251623036
"7",7,7,"60ddfb3db6a71ad9ba75e387","smooth","SR",2.75208333333333,2.9375,110,110,369,66.3064516129032,62.21875,1,"smooth",-1.4019111806589,1.4019111806589,2,0.76875,0.229166666666667,11.4297165848152,0.416892939619833,0.0800796361773912,1.1277356978911,0.575125915422654,0.413987572011866,1768.08793884767,209,-206,1.54375,1.63333333333333,1.0580354616134,-0.379975459899156,-1.09647790863701
"8",8,8,"60ddfb3db6a71ad9ba75e387","rough","SR",1.20833333333333,1.30416666666667,316,316,160,58.1310483870968,62.21875,2,"rough",2.03137823811808,-2.03137823811808,2,0.333333333333333,0.658333333333333,0.851725723264843,0.110891593600873,0.0308698500105631,1.1277356978911,0.575125915422654,0.413987572011866,974.653121192689,209,-206,1.54375,1.63333333333333,-0.0697002362776937,-0.95510137532181,-1.51046548064887
"9",9,9,"55d51a6b8ce09000127d4821","smooth","SR",1.83958333333333,1.77708333333333,267,267,212,61.2177419354839,60.5836693548387,1,"smooth",1.035853415732,-1.035853415732,2,0.441666666666667,0.55625,0.925685239476615,0.110121172771263,0.0379576065853791,0.0956962178789244,0.528696215924191,0.22418137788476,1161.96470192679,130,-127,0.73125,0.67083333333333,-0.0335366612625754,-0.958129172093674,-1.42070117979409
"10",10,10,"55d51a6b8ce09000127d4821","rough","SR",1.10833333333333,1.10625,394,394,82,59.9495967741936,60.5836693548387,2,"rough",2.852693685963,-2.852693685963,2,0.170833333333333,0.820833333333333,0.74262081997638,0.0325967732902456,0.0226525679764221,0.0956962178789244,0.528696215924191,0.22418137788476,760.511824134043,130,-127,0.73125,0.67083333333333,-0.1292328791415,-1.48682538801787,-1.64488255767885
