subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC
Wlj9TFuo,rough,SR,319.583.333.333.333,31.625,128,128,111,569.395.161.290.322,624.274.193.548.387,2,rough,0.712335538,-0.712335538
hAtEwgDm,smooth,RS,275.416.666.666.667,272.083.333.333.333,26,26,205,606.935.483.870.968,569.858.870.967.741,2,smooth,-0.670846478,0.670846478
hAtEwgDm,rough,RS,54.875,2.575,21,21,209,532.782.258.064.514,569.858.870.967.741,1,rough,-17.278.234.640.596,17.278.234.640.596
urRnsQeH,smooth,SR,0.916666667,114.583.333.333.333,123,123,116,64.625,617.782.258.064.516,1,smooth,262.170.731.205.645,-262.170.731.205.645
urRnsQeH,rough,SR,0.416666667,0.620833333,171,171,68,589.314.516.129.031,617.782.258.064.516,2,rough,39.882.635.372.373,-39.882.635.372.373
p7slf3Xb,smooth,RS,307.916.666.666.667,27.625,16,16,218,593.951.612.903.226,548.427.419.354.839,2,smooth,-103.100.064.475.752,103.100.064.475.752
p7slf3Xb,rough,RS,532.916.666.666.667,2.9,10,10,224,502.903.225.806.453,548.427.419.354.839,1,rough,-2.086.487.105.772,2.086.487.105.772
mw3e1N6j,smooth,SR,331.666.666.666.667,340.416.666.666.667,3,3,235,61.717.741.935.484,601.391.129.032.259,1,smooth,-175.529.138.835.375,175.529.138.835.375
mw3e1N6j,rough,SR,1.6,180.416.666.666.667,98,98,140,585.604.838.709.678,601.391.129.032.259,2,rough,154.195.159.997.182,-154.195.159.997.182
5jTO3oqc,smooth,SR,174.583.333.333.333,174.166.666.666.667,18,18,210,564.032.258.064.516,522.721.774.193.548,1,smooth,0.143742885,-0.143742885
5jTO3oqc,rough,SR,432.916.666.666.667,338.333.333.333.333,6,6,223,48.141.129.032.258,522.721.774.193.548,2,rough,-199.612.960.315.543,199.612.960.315.543
tVShEljp,smooth,RS,180.833.333.333.333,20.125,93,93,141,594.233.870.967.744,548.830.645.161.291,2,smooth,129.094.404.835.153,-129.094.404.835.153
tVShEljp,rough,RS,302.916.666.666.667,254.583.333.333.333,22,22,215,503.427.419.354.838,548.830.645.161.291,1,rough,-0.808861026,0.808861026
k9sSOnsU,smooth,SR,3.45,261.666.666.666.667,2,2,236,600.241.935.483.871,550.423.387.096.774,1,smooth,-138.736.082.965.617,138.736.082.965.617
k9sSOnsU,rough,SR,458.333.333.333.333,2.575,0,0,239,500.604.838.709.676,550.423.387.096.774,2,rough,-184.784.555.037.102,184.784.555.037.102
FT1ZKjD7,smooth,RS,276.666.666.666.667,265.833.333.333.333,53,53,182,563.145.161.290.324,511.310.483.870.969,2,smooth,-0.182108494,0.182108494
FT1ZKjD7,rough,RS,327.083.333.333.333,300.833.333.333.333,1,1,236,459.475.806.451.614,511.310.483.870.969,1,rough,-154.500.320.031.692,154.500.320.031.692
HW8wkJkJ,smooth,SR,233.333.333.333.333,255.833.333.333.333,9,9,231,559.435.483.870.967,522.197.580.645.161,1,smooth,-0.813704201,0.813704201
HW8wkJkJ,rough,SR,549.583.333.333.333,262.916.666.666.667,6,6,232,484.959.677.419.355,522.197.580.645.161,2,rough,-211.084.653.869.755,211.084.653.869.755
AfIxqRnj,smooth,RS,0.9125,1.075,151,151,89,582.016.129.032.259,580.887.096.774.194,2,smooth,31.677.006.323.348,-31.677.006.323.348
AfIxqRnj,rough,RS,0.891666667,1,139,139,94,57.975.806.451.613,580.887.096.774.194,1,rough,306.194.606.241.789,-306.194.606.241.789
OgLQ4z6k,smooth,RS,0.845833333,103.333.333.333.333,187,187,53,65.100.806.451.613,606.592.741.935.484,2,smooth,387.782.467.226.086,-387.782.467.226.086
OgLQ4z6k,rough,RS,227.083.333.333.333,210.416.666.666.667,150,150,90,562.177.419.354.838,606.592.741.935.484,1,rough,205.267.708.629.941,-205.267.708.629.941
NsU94yD2,smooth,SR,161.666.666.666.667,195.416.666.666.667,136,136,104,668.266.129.032.256,675.806.451.612.902,1,smooth,213.153.324.999.615,-213.153.324.999.615
NsU94yD2,rough,SR,10.875,134.583.333.333.333,170,170,70,683.346.774.193.547,675.806.451.612.902,2,rough,329.853.866.705.806,-329.853.866.705.806
pzpe8Uv6,smooth,SR,2.275,282.916.666.666.667,49,49,190,633.508.064.516.129,584.556.451.612.904,1,smooth,-0.197780433,0.197780433
pzpe8Uv6,rough,SR,474.583.333.333.333,411.666.666.666.667,85,85,155,535.604.838.709.679,584.556.451.612.904,2,rough,-121.570.029.977.571,121.570.029.977.571
fttCO9is,smooth,RS,22.875,199.166.666.666.667,10,10,224,591.491.935.483.871,540.927.419.354.839,2,smooth,-0.406979286,0.406979286
fttCO9is,rough,RS,30.375,227.916.666.666.667,12,12,218,490.362.903.225.806,540.927.419.354.839,1,rough,-0.782593307,0.782593307
jTdLNOJ0,smooth,RS,248.333.333.333.333,289.583.333.333.333,42,42,197,617.258.064.516.129,584.334.677.419.355,2,smooth,-0.443860214,0.443860214
jTdLNOJ0,rough,RS,426.666.666.666.667,3.075,51,51,184,551.411.290.322.581,584.334.677.419.355,1,rough,-102.970.493.967.679,102.970.493.967.679
MrLL3n93,smooth,RS,0.554166667,0.833333333,175,175,63,664.032.258.064.515,641.068.548.387.096,2,smooth,389.977.685.028.161,-389.977.685.028.161
MrLL3n93,rough,RS,174.583.333.333.333,137.083.333.333.333,122,122,92,618.104.838.709.676,641.068.548.387.096,1,rough,238.990.380.748.646,-238.990.380.748.646
HUXLToLD,smooth,SR,26.375,2.3,84,84,155,640.201.612.903.226,575.282.258.064.516,1,smooth,0.599261975,-0.599261975
HUXLToLD,rough,SR,400.833.333.333.333,294.583.333.333.333,29,29,192,510.362.903.225.806,575.282.258.064.516,2,rough,-113.239.484.353.609,113.239.484.353.609
1oyC9bNy,smooth,SR,1.85,217.083.333.333.333,18,18,206,515.725.806.451.614,495.262.096.774.194,1,smooth,-0.097969684,0.097969684
1oyC9bNy,rough,SR,2.3,220.833.333.333.333,20,20,180,474.798.387.096.775,495.262.096.774.194,2,rough,-0.033294023,0.033294023
ks0IMTm7,smooth,SR,194.166.666.666.667,250.416.666.666.667,10,10,229,537.217.741.935.482,480.403.225.806.451,1,smooth,-0.60470827,0.60470827
ks0IMTm7,rough,SR,339.583.333.333.333,262.916.666.666.667,3,3,223,423.588.709.677.419,480.403.225.806.451,2,rough,-124.374.738.190.945,124.374.738.190.945
fR3u9ZIE,smooth,RS,20.125,239.166.666.666.667,51,51,178,611.612.903.225.808,533.689.516.129.033,2,smooth,0.276265081,-0.276265081
fR3u9ZIE,rough,RS,34.375,309.166.666.666.667,27,27,192,455.766.129.032.259,533.689.516.129.033,1,rough,-101.122.477.443.781,101.122.477.443.781
M21CrZu3,smooth,RS,213.333.333.333.333,247.083.333.333.333,88,88,151,607.540.322.580.645,583.084.677.419.354,2,smooth,0.772446999,-0.772446999
M21CrZu3,rough,RS,2.4,269.583.333.333.333,78,78,160,558.629.032.258.064,583.084.677.419.354,1,rough,0.369993161,-0.369993161
GmF2oPF3,smooth,SR,2.875,381.666.666.666.667,17,17,222,643.588.709.677.419,559.052.419.354.839,1,smooth,-156.618.936.518.794,156.618.936.518.794
GmF2oPF3,rough,SR,48.125,496.666.666.666.667,4,4,236,474.516.129.032.259,559.052.419.354.839,2,rough,-320.171.234.726.025,320.171.234.726.025
aZ4Pjcq8,smooth,SR,2.85,2.6,3,3,231,526.814.516.129.034,495.483.870.967.742,1,smooth,-109.094.352.943.733,109.094.352.943.733
aZ4Pjcq8,rough,SR,260.416.666.666.667,216.666.666.666.667,3,3,233,464.153.225.806.451,495.483.870.967.742,2,rough,-0.773663146,0.773663146
aC9efLBk,smooth,RS,3.15,187.083.333.333.333,75,75,160,571.653.225.806.453,501.693.548.387.098,2,smooth,0.511728101,-0.511728101
aC9efLBk,rough,RS,426.666.666.666.667,18.125,68,68,148,431.733.870.967.742,501.693.548.387.098,1,rough,0.160573205,-0.160573205
DMNd0tML,smooth,RS,246.666.666.666.667,214.166.666.666.667,21,21,213,610.241.935.483.871,553.387.096.774.194,2,smooth,-0.357514063,0.357514063
DMNd0tML,rough,RS,31.875,335.416.666.666.667,27,27,211,496.532.258.064.516,553.387.096.774.194,1,rough,-123.680.587.845.287,123.680.587.845.287
HATWyG4E,smooth,SR,195.416.666.666.667,201.666.666.666.667,84,84,155,632.056.451.612.904,550.120.967.741.936,1,smooth,102.064.328.887.231,-102.064.328.887.231
HATWyG4E,rough,SR,3.3,2.775,35,35,201,468.185.483.870.968,550.120.967.741.936,2,rough,-0.792795792,0.792795792
7oHH6qzl,smooth,RS,0.504166667,0.804166667,150,150,90,67.975.806.451.613,642.620.967.741.936,2,smooth,345.757.367.226.918,-345.757.367.226.918
7oHH6qzl,rough,RS,0.479166667,0.758333333,151,151,88,605.483.870.967.741,642.620.967.741.936,1,rough,352.034.741.003.548,-352.034.741.003.548
Vh0gzvyH,smooth,SR,215.833.333.333.333,226.666.666.666.667,20,20,214,586.733.870.967.742,508.266.129.032.259,1,smooth,-0.326306922,0.326306922
Vh0gzvyH,rough,SR,358.333.333.333.333,26.125,3,3,231,429.798.387.096.775,508.266.129.032.259,2,rough,-138.107.159.435.609,138.107.159.435.609
z9eAvGTr,smooth,RS,29.875,3.225,66,66,173,633.266.129.032.258,558.346.774.193.548,2,smooth,-0.380723752,0.380723752
z9eAvGTr,rough,RS,428.333.333.333.333,424.583.333.333.333,24,24,213,483.427.419.354.839,558.346.774.193.548,1,rough,-220.148.663.387.288,220.148.663.387.288
AaqJW2Fz,smooth,RS,161.666.666.666.667,1.8,7,7,230,576.008.064.516.129,505.181.451.612.903,2,smooth,-0.124305064,0.124305064
AaqJW2Fz,rough,RS,315.833.333.333.333,260.416.666.666.667,4,4,232,434.354.838.709.678,505.181.451.612.903,1,rough,-121.250.308.260.393,121.250.308.260.393
y5BQaSfy,smooth,SR,187.916.666.666.667,202.916.666.666.667,11,11,226,592.983.870.967.741,564.173.387.096.773,1,smooth,-0.279599421,0.279599421
y5BQaSfy,rough,SR,232.916.666.666.667,174.166.666.666.667,89,89,145,535.362.903.225.805,564.173.387.096.773,2,rough,116.691.485.831.616,-116.691.485.831.616
hqJvXTjE,smooth,SR,214.166.666.666.667,223.333.333.333.333,7,7,229,564.758.064.516.127,526.895.161.290.322,1,smooth,-0.5586598,0.5586598
hqJvXTjE,rough,SR,299.583.333.333.333,227.916.666.666.667,0,0,238,489.032.258.064.516,526.895.161.290.322,2,rough,-106.109.509.404.298,106.109.509.404.298
TAA2mTRq,smooth,RS,149.166.666.666.667,162.083.333.333.333,125,125,115,656.653.225.806.454,584.879.032.258.065,2,smooth,21.630.695.465.106,-21.630.695.465.106
TAA2mTRq,rough,RS,2.9,2.2,74,74,159,513.104.838.709.676,584.879.032.258.065,1,rough,0.425456303,-0.425456303
iYTOXOkY,smooth,RS,207.083.333.333.333,211.666.666.666.667,6,6,223,573.870.967.741.935,526.935.483.870.967,2,smooth,-0.419904877,0.419904877
iYTOXOkY,rough,RS,22.375,222.083.333.333.333,4,4,220,48,526.935.483.870.967,1,rough,-0.532540005,0.532540005
5PAr5vei,smooth,SR,200.416.666.666.667,2.65,54,54,182,67.157.258.064.516,652.802.419.354.838,1,smooth,0.126059982,-0.126059982
5PAr5vei,rough,SR,156.666.666.666.667,200.833.333.333.333,152,152,86,634.032.258.064.516,652.802.419.354.838,2,rough,243.314.951.223.458,-243.314.951.223.458
TIwdulrP,smooth,SR,279.166.666.666.667,299.166.666.666.667,10,10,228,588.225.806.451.613,540.887.096.774.193,1,smooth,-119.467.501.732.398,119.467.501.732.398
TIwdulrP,rough,SR,404.583.333.333.333,3.45,4,4,235,493.548.387.096.773,540.887.096.774.193,2,rough,-205.324.712.798.584,205.324.712.798.584
vWH7Dhaa,smooth,RS,145.416.666.666.667,197.916.666.666.667,113,113,125,671.572.580.645.161,655.383.064.516.129,2,smooth,177.648.730.612.367,-177.648.730.612.367
vWH7Dhaa,rough,RS,1.85,201.666.666.666.667,120,120,117,639.193.548.387.098,655.383.064.516.129,1,rough,174.063.129.865.007,-174.063.129.865.007
s4tL1j7Z,smooth,RS,255.833.333.333.333,244.583.333.333.333,0,0,240,600.000.000.000.001,557.983.870.967.741,2,smooth,-100.335.232.637.842,100.335.232.637.842
s4tL1j7Z,rough,RS,258.333.333.333.333,247.083.333.333.333,5,5,233,515.967.741.935.481,557.983.870.967.741,1,rough,-0.91652192,0.91652192
6ypUH6w0,smooth,SR,194.583.333.333.333,252.083.333.333.333,99,99,139,677.580.645.161.291,613.931.451.612.903,1,smooth,102.836.671.327.576,-102.836.671.327.576
6ypUH6w0,rough,SR,454.166.666.666.667,452.083.333.333.333,53,53,185,550.282.258.064.515,613.931.451.612.903,2,rough,-19.307.461.198.508,19.307.461.198.508
EUIf6fJw,smooth,RS,400.833.333.333.333,329.583.333.333.333,48,48,177,592.782.258.064.516,559.455.645.161.291,2,smooth,-101.508.296.803.146,101.508.296.803.146
EUIf6fJw,rough,RS,607.083.333.333.333,401.666.666.666.667,38,38,180,526.129.032.258.066,559.455.645.161.291,1,rough,-233.100.678.133.172,233.100.678.133.172
4hPa2BbW,smooth,RS,165.833.333.333.333,186.666.666.666.667,56,56,178,588.467.741.935.485,544.274.193.548.387,2,smooth,0.750353894,-0.750353894
4hPa2BbW,rough,RS,210.416.666.666.667,187.916.666.666.667,22,22,206,50.008.064.516.129,544.274.193.548.387,1,rough,0.002401247,-0.002401247
8GQtsD8s,smooth,RS,139.583.333.333.333,167.083.333.333.333,119,119,121,66.733.870.967.742,605.483.870.967.742,2,smooth,206.207.716.695.352,-206.207.716.695.352
8GQtsD8s,rough,RS,237.083.333.333.333,209.583.333.333.333,101,101,139,543.629.032.258.064,605.483.870.967.742,1,rough,111.870.422.808.741,-111.870.422.808.741
hDAKfN1x,smooth,RS,202.916.666.666.667,251.666.666.666.667,65,65,175,664.153.225.806.451,602.963.709.677.419,2,smooth,0.355474179,-0.355474179
hDAKfN1x,rough,RS,2.125,2.075,83,83,155,541.774.193.548.388,602.963.709.677.419,1,rough,0.913152998,-0.913152998
4JFTm54x,smooth,RS,182.083.333.333.333,218.333.333.333.333,140,140,100,716.975.806.451.611,63.391.129.032.258,2,smooth,199.876.450.240.322,-199.876.450.240.322
4JFTm54x,rough,RS,159.166.666.666.667,1.875,176,176,63,550.846.774.193.549,63.391.129.032.258,1,rough,292.915.626.862.148,-292.915.626.862.148
Mk4M9EPP,smooth,RS,0.941666667,1.3,134,134,106,668.104.838.709.677,626.693.548.387.097,2,smooth,27.191.149.642.506,-27.191.149.642.506
Mk4M9EPP,rough,RS,23.625,2.275,139,139,101,585.282.258.064.516,626.693.548.387.097,1,rough,172.027.189.679.502,-172.027.189.679.502
zU5b7n7y,smooth,SR,0.970833333,12.375,147,147,92,561.209.677.419.358,592.701.612.903.228,1,smooth,299.064.310.696.049,-299.064.310.696.049
zU5b7n7y,rough,SR,175.416.666.666.667,220.833.333.333.333,147,147,92,624.193.548.387.098,592.701.612.903.228,2,rough,214.845.336.964.912,-214.845.336.964.912
mdBX24xX,smooth,RS,285.416.666.666.667,246.666.666.666.667,1,1,238,548.104.838.709.676,485.584.677.419.355,2,smooth,-110.153.059.297.326,110.153.059.297.326
mdBX24xX,rough,RS,551.666.666.666.667,30.125,5,5,224,423.064.516.129.034,485.584.677.419.355,1,rough,-226.690.117.689.984,226.690.117.689.984
gJS5i6pF,smooth,RS,1,114.166.666.666.667,200,200,40,618.951.612.903.225,566.572.580.645.161,2,smooth,399.684.123.874.171,-399.684.123.874.171
gJS5i6pF,rough,RS,2.725,25.125,21,21,215,514.193.548.387.096,566.572.580.645.161,1,rough,-0.681969412,0.681969412
h277lF6d,smooth,RS,49.875,38.625,2,2,237,503.629.032.258.065,470.141.129.032.258,2,smooth,-268.292.498.307.607,268.292.498.307.607
h277lF6d,rough,RS,775.833.333.333.333,461.666.666.666.667,2,2,229,436.653.225.806.451,470.141.129.032.258,1,rough,-409.795.995.487.244,409.795.995.487.244
g50cgEaM,smooth,RS,204.166.666.666.667,20.875,13,13,225,568.951.612.903.225,531.572.580.645.161,2,smooth,-0.347316767,0.347316767
g50cgEaM,rough,RS,195.416.666.666.667,192.916.666.666.667,12,12,224,494.193.548.387.096,531.572.580.645.161,1,rough,-0.225328832,0.225328832
dSqThxAR,smooth,RS,154.583.333.333.333,19.375,115,115,120,641.935.483.870.968,554.495.967.741.935,2,smooth,182.880.708.616.899,-182.880.708.616.899
dSqThxAR,rough,RS,32.125,25.375,4,4,232,467.056.451.612.902,554.495.967.741.935,1,rough,-119.635.857.236.484,119.635.857.236.484
ClxTsInf,smooth,RS,287.083.333.333.333,271.666.666.666.667,8,8,231,563.629.032.258.065,526.270.161.290.323,2,smooth,-111.837.576.336.391,111.837.576.336.391
ClxTsInf,rough,RS,497.083.333.333.333,3.05,1,1,237,488.911.290.322.581,526.270.161.290.323,1,rough,-223.390.027.706.815,223.390.027.706.815
1gvwuhNM,smooth,SR,297.916.666.666.667,358.333.333.333.333,39,39,200,651.814.516.129.031,599.354.838.709.676,1,smooth,-107.262.243.095.932,107.262.243.095.932
1gvwuhNM,rough,SR,315.833.333.333.333,315.833.333.333.333,74,74,156,546.895.161.290.321,599.354.838.709.676,2,rough,-0.179234321,0.179234321
rZaaDNty,smooth,RS,289.166.666.666.667,310.833.333.333.333,27,27,210,609.959.677.419.355,563.125,2,smooth,-0.976632652,0.976632652
rZaaDNty,rough,RS,446.666.666.666.667,307.083.333.333.333,50,50,176,516.290.322.580.645,563.125,1,rough,-103.952.745.625.498,103.952.745.625.498
KiYz9UyN,smooth,RS,285.833.333.333.333,337.916.666.666.667,43,43,192,600.725.806.451.615,567.903.225.806.453,2,smooth,-0.80190101,0.80190101
KiYz9UyN,rough,RS,327.083.333.333.333,414.166.666.666.667,6,6,232,53.508.064.516.129,567.903.225.806.453,1,rough,-2.092.480.208.485,2.092.480.208.485
IxAcx5Hm,smooth,RS,2.15,305.416.666.666.667,59,59,179,679.233.870.967.741,586.713.709.677.419,2,smooth,-0.081647962,0.081647962
IxAcx5Hm,rough,RS,384.166.666.666.667,314.583.333.333.333,10,10,219,494.193.548.387.098,586.713.709.677.419,1,rough,-160.238.093.474.849,160.238.093.474.849
pa3djG9u,smooth,RS,27.375,20.125,4,4,231,577.661.290.322.582,520.181.451.612.903,2,smooth,-0.711805985,0.711805985
pa3djG9u,rough,RS,376.666.666.666.667,234.583.333.333.333,5,5,226,462.701.612.903.224,520.181.451.612.903,1,rough,-123.906.782.632.143,123.906.782.632.143
79AkkJ46,smooth,RS,223.333.333.333.333,226.666.666.666.667,148,148,91,599.637.096.774.194,62.953.629.032.258,2,smooth,194.936.021.318.635,-194.936.021.318.635
79AkkJ46,rough,RS,0.770833333,0.729166667,176,176,64,659.435.483.870.966,62.953.629.032.258,1,rough,387.383.905.052.033,-387.383.905.052.033
hQd8SK2J,smooth,SR,332.083.333.333.333,280.833.333.333.333,13,13,222,596.129.032.258.065,576.451.612.903.226,1,smooth,-121.417.522.733.551,121.417.522.733.551
hQd8SK2J,rough,SR,234.166.666.666.667,19.625,72,72,167,556.774.193.548.387,576.451.612.903.226,2,rough,0.680715305,-0.680715305
I4fjJnj9,smooth,SR,257.916.666.666.667,337.916.666.666.667,2,2,228,610.967.741.935.485,534.637.096.774.194,1,smooth,-140.078.677.984.657,140.078.677.984.657
I4fjJnj9,rough,SR,422.916.666.666.667,444.583.333.333.333,2,2,234,458.306.451.612.902,534.637.096.774.194,2,rough,-268.655.744.078.805,268.655.744.078.805
r1MAFvvI,smooth,SR,13.375,18.875,67,67,172,642.822.580.645.161,618.608.870.967.742,1,smooth,101.833.565.534.125,-101.833.565.534.125
r1MAFvvI,rough,SR,19.375,230.833.333.333.333,109,109,129,594.395.161.290.322,618.608.870.967.742,2,rough,133.338.853.099.011,-133.338.853.099.011
7VnxAA4j,smooth,SR,305.833.333.333.333,2.85,7,7,230,638.548.387.096.776,626.915.322.580.646,1,smooth,-12.647.225.151.951,12.647.225.151.951
7VnxAA4j,rough,SR,277.083.333.333.333,264.583.333.333.333,103,103,131,615.282.258.064.516,626.915.322.580.646,2,rough,0.750862035,-0.750862035
JeQWpspK,smooth,RS,147.916.666.666.667,2.025,92,92,148,60.443.548.387.097,581.834.677.419.355,2,smooth,13.370.974.227.776,-13.370.974.227.776
JeQWpspK,rough,RS,150.833.333.333.333,2.05,77,77,162,55.923.387.096.774,581.834.677.419.355,1,rough,10.457.027.112.394,-10.457.027.112.394
BG92ayXG,smooth,RS,0.975,10.875,185,185,55,634.637.096.774.195,586.552.419.354.839,2,smooth,376.110.005.976.768,-376.110.005.976.768
BG92ayXG,rough,RS,207.916.666.666.667,16.625,97,97,141,538.467.741.935.484,586.552.419.354.839,1,rough,141.730.759.569.356,-141.730.759.569.356
kHtEyjjv,smooth,SR,204.583.333.333.333,247.083.333.333.333,11,11,227,628.911.290.322.582,567.016.129.032.259,1,smooth,-0.598761634,0.598761634
kHtEyjjv,rough,SR,36.375,312.916.666.666.667,3,3,232,505.120.967.741.936,567.016.129.032.259,2,rough,-16.984.853.506.146,16.984.853.506.146
ohb3Cnb1,smooth,RS,172.916.666.666.667,180.833.333.333.333,8,8,227,625.685.483.870.966,571.330.645.161.289,2,smooth,-0.135466371,0.135466371
ohb3Cnb1,rough,RS,275.833.333.333.333,2.575,5,5,229,516.975.806.451.613,571.330.645.161.289,1,rough,-100.491.391.872.839,100.491.391.872.839
RPUCnjY1,smooth,RS,329.166.666.666.667,3.025,118,118,122,660.846.774.193.546,599.858.870.967.739,2,smooth,0.558823115,-0.558823115
RPUCnjY1,rough,RS,45.125,44.125,104,104,136,538.870.967.741.932,599.858.870.967.739,1,rough,-0.941080924,0.941080924
JtIFVELa,smooth,RS,290.416.666.666.667,271.666.666.666.667,13,13,220,564.596.774.193.547,518.467.741.935.484,2,smooth,-0.983772495,0.983772495
JtIFVELa,rough,RS,427.083.333.333.333,327.083.333.333.333,6,6,230,47.233.870.967.742,518.467.741.935.484,1,rough,-19.759.758.386.364,19.759.758.386.364
HsUuzxDt,smooth,RS,320.416.666.666.667,347.916.666.666.667,4,4,233,53.625,501.693.548.387.096,2,smooth,-172.590.256.654.788,172.590.256.654.788
HsUuzxDt,rough,RS,389.166.666.666.667,372.916.666.666.667,4,4,233,467.137.096.774.193,501.693.548.387.096,1,rough,-213.036.227.848.431,213.036.227.848.431
JemAIMLO,smooth,SR,347.916.666.666.667,41.625,1,1,239,589.193.548.387.098,50.453.629.032.258,1,smooth,-22.948.925.949.123,22.948.925.949.123
JemAIMLO,rough,SR,479.583.333.333.333,45.375,0,0,236,419.879.032.258.062,50.453.629.032.258,2,rough,-299.307.102.566.386,299.307.102.566.386
PPDyw7zP,smooth,SR,22.375,2.6,14,14,221,591.814.516.129.031,537.177.419.354.839,1,smooth,-0.661659232,0.661659232
PPDyw7zP,rough,SR,424.583.333.333.333,414.166.666.666.667,14,14,215,482.540.322.580.647,537.177.419.354.839,2,rough,-223.858.355.108.092,223.858.355.108.092
bfS7OvbN,smooth,SR,36.375,4,8,8,228,551.209.677.419.355,522.822.580.645.161,1,smooth,-210.003.408.743.437,210.003.408.743.437
bfS7OvbN,rough,SR,329.583.333.333.333,349.166.666.666.667,28,28,205,494.435.483.870.967,522.822.580.645.161,2,rough,-129.034.453.124.713,129.034.453.124.713
f96ZQfkQ,smooth,RS,2.8,277.916.666.666.667,6,6,229,542.298.387.096.775,511.995.967.741.936,2,smooth,-112.540.947.963.252,112.540.947.963.252
f96ZQfkQ,rough,RS,57.875,2.8,6,6,221,481.693.548.387.098,511.995.967.741.936,1,rough,-221.643.837.252.002,221.643.837.252.002
HUiA7idF,smooth,SR,139.166.666.666.667,178.333.333.333.333,1,1,239,497.620.967.741.934,475.766.129.032.257,1,smooth,-0.166177815,0.166177815
HUiA7idF,rough,SR,24.375,196.666.666.666.667,0,0,240,45.391.129.032.258,475.766.129.032.257,2,rough,-0.690315131,0.690315131
m2tTX95n,smooth,SR,34.125,279.166.666.666.667,75,75,164,633.024.193.548.387,595.100.806.451.612,1,smooth,-0.138637132,0.138637132
