subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC
owm9aKPQ,smooth,SR,25.875,30.875,3,3,234,589.475.806.451.613,543.891.129.032.258,1,smooth,-128.840.758.751.235,128.840.758.751.235
owm9aKPQ,rough,SR,449.166.666.666.667,25.875,0,0,238,498.306.451.612.902,543.891.129.032.258,2,rough,-181.012.390.916.435,181.012.390.916.435
y15pVogi,smooth,RS,155.833.333.333.333,194.166.666.666.667,76,76,164,659.516.129.032.255,619.596.774.193.547,2,smooth,105.897.904.592.666,-105.897.904.592.666
y15pVogi,rough,RS,165.833.333.333.333,19.125,129,129,109,579.677.419.354.839,619.596.774.193.547,1,rough,202.858.315.993.221,-202.858.315.993.221
1uqcirv9,smooth,RS,212.083.333.333.333,263.333.333.333.333,16,16,210,630.685.483.870.967,610.504.032.258.065,2,smooth,-0.514945321,0.514945321
1uqcirv9,rough,RS,240.416.666.666.667,225.416.666.666.667,95,95,141,590.322.580.645.162,610.504.032.258.065,1,rough,0.944702222,-0.944702222
GpUxeuTJ,smooth,SR,119.583.333.333.333,158.333.333.333.333,44,44,194,589.838.709.677.419,604.153.225.806.452,1,smooth,0.828961051,-0.828961051
GpUxeuTJ,rough,SR,106.666.666.666.667,129.166.666.666.667,114,114,126,618.467.741.935.485,604.153.225.806.452,2,rough,230.813.551.655.526,-230.813.551.655.526
lCJYeWUg,smooth,RS,169.166.666.666.667,197.916.666.666.667,6,6,232,564.233.870.967.741,510.201.612.903.226,2,smooth,-0.280508764,0.280508764
lCJYeWUg,rough,RS,292.083.333.333.333,25.375,0,0,238,456.169.354.838.711,510.201.612.903.226,1,rough,-117.574.554.479.943,117.574.554.479.943
cKeaF6ov,smooth,SR,371.666.666.666.667,350.416.666.666.667,5,5,234,57.508.064.516.129,544.899.193.548.386,1,smooth,-193.788.336.424.031,193.788.336.424.031
cKeaF6ov,rough,SR,38.875,307.083.333.333.333,0,0,236,514.717.741.935.482,544.899.193.548.386,2,rough,-182.696.983.332.058,182.696.983.332.058
XMXe3vkY,smooth,RS,169.166.666.666.667,1.85,129,129,110,679.516.129.032.258,656.673.387.096.774,2,smooth,20.411.829.901.315,-20.411.829.901.315
XMXe3vkY,rough,RS,171.666.666.666.667,162.916.666.666.667,140,140,100,63.383.064.516.129,656.673.387.096.774,1,rough,234.705.960.139.464,-234.705.960.139.464
FjQkaMIa,smooth,RS,320.416.666.666.667,277.083.333.333.333,7,7,233,579.959.677.419.356,535.907.258.064.516,2,smooth,-130.484.608.427.654,130.484.608.427.654
FjQkaMIa,rough,RS,320.416.666.666.667,3.05,2,2,235,491.854.838.709.676,535.907.258.064.516,1,rough,-152.405.571.715.453,152.405.571.715.453
BSiiUPQR,smooth,SR,2.575,2.425,40,40,198,620.766.129.032.258,578.548.387.096.774,1,smooth,-0.244974315,0.244974315
BSiiUPQR,rough,SR,263.333.333.333.333,2.05,83,83,157,536.330.645.161.291,578.548.387.096.774,2,rough,0.712209888,-0.712209888
N8XwrYhy,smooth,SR,22.125,2.85,40,40,198,632.822.580.645.161,633.467.741.935.484,1,smooth,-0.341258558,0.341258558
N8XwrYhy,rough,SR,178.333.333.333.333,2.1,118,118,121,634.112.903.225.806,633.467.741.935.484,2,rough,166.476.768.704.587,-166.476.768.704.587
Wlj9TFuo,smooth,SR,21.125,242.916.666.666.667,123,123,117,679.153.225.806.453,624.274.193.548.387,1,smooth,143.723.197.959.641,-143.723.197.959.641
