"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC"
"74",74,"5e52894c77e0502a16cb4354","rough","SR",3.3,2.775,35,35,201,46.8185483870968,55.0120967741936,2,"rough",-0.79279579229327,0.79279579229327
"75",75,"5fca5e05aae247651ac78dfe","smooth","RS",0.504166666666667,0.804166666666667,150,150,90,67.975806451613,64.2620967741936,2,"smooth",3.45757367226918,-3.45757367226918
"76",76,"5fca5e05aae247651ac78dfe","rough","RS",0.479166666666667,0.758333333333333,151,151,88,60.5483870967741,64.2620967741936,1,"rough",3.52034741003548,-3.52034741003548
"77",77,"60188dfb3c6ebe16a4fd9a38","smooth","SR",2.15833333333333,2.26666666666667,20,20,214,58.6733870967742,50.8266129032259,1,"smooth",-0.326306922450896,0.326306922450896
"78",78,"60188dfb3c6ebe16a4fd9a38","rough","SR",3.58333333333333,2.6125,3,3,231,42.9798387096775,50.8266129032259,2,"rough",-1.38107159435609,1.38107159435609
"79",79,"5ec68cfefc102707d67319f9","smooth","RS",2.9875,3.225,66,66,173,63.3266129032258,55.8346774193548,2,"smooth",-0.380723752468028,0.380723752468028
"80",80,"5ec68cfefc102707d67319f9","rough","RS",4.28333333333333,4.24583333333333,24,24,213,48.3427419354839,55.8346774193548,1,"rough",-2.20148663387288,2.20148663387288
"81",81,"5e7f76cf000e7064c43cc84a","smooth","RS",1.61666666666667,1.8,7,7,230,57.6008064516129,50.5181451612903,2,"smooth",-0.124305063510453,0.124305063510453
"82",82,"5e7f76cf000e7064c43cc84a","rough","RS",3.15833333333333,2.60416666666667,4,4,232,43.4354838709678,50.5181451612903,1,"rough",-1.21250308260393,1.21250308260393
"83",83,"613c6910aec4b4f7d8aad7c9","smooth","SR",1.87916666666667,2.02916666666667,11,11,226,59.2983870967741,56.4173387096773,1,"smooth",-0.279599421300155,0.279599421300155
"84",84,"613c6910aec4b4f7d8aad7c9","rough","SR",2.32916666666667,1.74166666666667,89,89,145,53.5362903225805,56.4173387096773,2,"rough",1.16691485831616,-1.16691485831616
"85",85,"5c882036de8ae1000103d3fa","smooth","SR",2.14166666666667,2.23333333333333,7,7,229,56.4758064516127,52.6895161290322,1,"smooth",-0.558659800037474,0.558659800037474
"86",86,"5c882036de8ae1000103d3fa","rough","SR",2.99583333333333,2.27916666666667,0,0,238,48.9032258064516,52.6895161290322,2,"rough",-1.06109509404298,1.06109509404298
"87",87,"60e858204e148e07ef3ef257","smooth","RS",1.49166666666667,1.62083333333333,125,125,115,65.6653225806454,58.4879032258065,2,"smooth",2.1630695465106,-2.1630695465106
"88",88,"60e858204e148e07ef3ef257","rough","RS",2.9,2.2,74,74,159,51.3104838709676,58.4879032258065,1,"rough",0.425456302566373,-0.425456302566373
"89",89,"616c4409a2bcfe1fdb942117","smooth","RS",2.07083333333333,2.11666666666667,6,6,223,57.3870967741935,52.6935483870967,2,"smooth",-0.419904876809552,0.419904876809552
"90",90,"616c4409a2bcfe1fdb942117","rough","RS",2.2375,2.22083333333333,4,4,220,48,52.6935483870967,1,"rough",-0.532540004639541,0.532540004639541
"91",91,"5f4d52bbfae2769f73aa4981","smooth","SR",2.00416666666667,2.65,54,54,182,67.157258064516,65.2802419354838,1,"smooth",0.12605998172598,-0.12605998172598
"92",92,"5f4d52bbfae2769f73aa4981","rough","SR",1.56666666666667,2.00833333333333,152,152,86,63.4032258064516,65.2802419354838,2,"rough",2.43314951223458,-2.43314951223458
"93",93,"60cb3a3e82065e2f9dcdd8e7","smooth","SR",2.79166666666667,2.99166666666667,10,10,228,58.8225806451613,54.0887096774193,1,"smooth",-1.19467501732398,1.19467501732398
"94",94,"60cb3a3e82065e2f9dcdd8e7","rough","SR",4.04583333333333,3.45,4,4,235,49.3548387096773,54.0887096774193,2,"rough",-2.05324712798584,2.05324712798584
"95",95,"6306675006944fb9dc5b859f","smooth","RS",1.45416666666667,1.97916666666667,113,113,125,67.1572580645161,65.5383064516129,2,"smooth",1.77648730612367,-1.77648730612367
"96",96,"6306675006944fb9dc5b859f","rough","RS",1.85,2.01666666666667,120,120,117,63.9193548387098,65.5383064516129,1,"rough",1.74063129865007,-1.74063129865007
"97",97,"5ff6d9ee8c6cb429d55ea0fa","smooth","RS",2.55833333333333,2.44583333333333,0,0,240,60.0000000000001,55.7983870967741,2,"smooth",-1.00335232637842,1.00335232637842
"98",98,"5ff6d9ee8c6cb429d55ea0fa","rough","RS",2.58333333333333,2.47083333333333,5,5,233,51.5967741935481,55.7983870967741,1,"rough",-0.916521920179936,0.916521920179936
"99",99,"5efd146921bf49159fe2d166","smooth","SR",1.94583333333333,2.52083333333333,99,99,139,67.7580645161291,61.3931451612903,1,"smooth",1.02836671327576,-1.02836671327576
"100",100,"5efd146921bf49159fe2d166","rough","SR",4.54166666666667,4.52083333333333,53,53,185,55.0282258064515,61.3931451612903,2,"rough",-1.9307461198508,1.9307461198508
"101",101,"5dc9864276244069e9aac84c","smooth","RS",4.00833333333333,3.29583333333333,48,48,177,59.2782258064516,55.9455645161291,2,"smooth",-1.01508296803146,1.01508296803146
"102",102,"5dc9864276244069e9aac84c","rough","RS",6.07083333333333,4.01666666666667,38,38,180,52.6129032258066,55.9455645161291,1,"rough",-2.33100678133172,2.33100678133172
"103",103,"604a91dd5ad5f9b599efc5a4","smooth","RS",1.65833333333333,1.86666666666667,56,56,178,58.8467741935485,54.4274193548387,2,"smooth",0.750353893793242,-0.750353893793242
"104",104,"604a91dd5ad5f9b599efc5a4","rough","RS",2.10416666666667,1.87916666666667,22,22,206,50.008064516129,54.4274193548387,1,"rough",0.00240124695405269,-0.00240124695405269
"105",105,"5ecd7b06a1a9170e7806f51e","smooth","RS",1.39583333333333,1.67083333333333,119,119,121,66.733870967742,60.5483870967742,2,"smooth",2.06207716695352,-2.06207716695352
"106",106,"5ecd7b06a1a9170e7806f51e","rough","RS",2.37083333333333,2.09583333333333,101,101,139,54.3629032258064,60.5483870967742,1,"rough",1.11870422808741,-1.11870422808741
"107",107,"5f47b4a74191761c1b5a1338","smooth","RS",2.02916666666667,2.51666666666667,65,65,175,66.4153225806451,60.2963709677419,2,"smooth",0.355474178702267,-0.355474178702267
"108",108,"5f47b4a74191761c1b5a1338","rough","RS",2.125,2.075,83,83,155,54.1774193548388,60.2963709677419,1,"rough",0.913152998425639,-0.913152998425639
"109",109,"6083e6f895a0a89f8dde9ecd","smooth","RS",1.82083333333333,2.18333333333333,140,140,100,71.6975806451611,63.391129032258,2,"smooth",1.99876450240322,-1.99876450240322
"110",110,"6083e6f895a0a89f8dde9ecd","rough","RS",1.59166666666667,1.875,176,176,63,55.0846774193549,63.391129032258,1,"rough",2.92915626862148,-2.92915626862148
"111",111,"5f481bf67f52512c71e6999a","smooth","RS",0.941666666666667,1.3,134,134,106,66.8104838709677,62.6693548387097,2,"smooth",2.7191149642506,-2.7191149642506
"112",112,"5f481bf67f52512c71e6999a","rough","RS",2.3625,2.275,139,139,101,58.5282258064516,62.6693548387097,1,"rough",1.72027189679502,-1.72027189679502
"113",113,"615f31f9f80219604bd66070","smooth","SR",0.970833333333333,1.2375,147,147,92,56.1209677419358,59.2701612903228,1,"smooth",2.99064310696049,-2.99064310696049
"114",114,"615f31f9f80219604bd66070","rough","SR",1.75416666666667,2.20833333333333,147,147,92,62.4193548387098,59.2701612903228,2,"rough",2.14845336964912,-2.14845336964912
"115",115,"5f3f47ae0c03be23a4ed6845","smooth","RS",2.85416666666667,2.46666666666667,1,1,238,54.8104838709676,48.5584677419355,2,"smooth",-1.10153059297326,1.10153059297326
"116",116,"5f3f47ae0c03be23a4ed6845","rough","RS",5.51666666666667,3.0125,5,5,224,42.3064516129034,48.5584677419355,1,"rough",-2.26690117689984,2.26690117689984
"117",117,"60facd07a6a829240df53ee6","smooth","RS",1,1.14166666666667,200,200,40,61.8951612903225,56.6572580645161,2,"smooth",3.99684123874171,-3.99684123874171
"118",118,"60facd07a6a829240df53ee6","rough","RS",2.725,2.5125,21,21,215,51.4193548387096,56.6572580645161,1,"rough",-0.681969411857151,0.681969411857151
"119",119,"61511845dc84f339bcba596a","smooth","RS",4.9875,3.8625,2,2,237,50.3629032258065,47.0141129032258,2,"smooth",-2.68292498307607,2.68292498307607
"120",120,"61511845dc84f339bcba596a","rough","RS",7.75833333333333,4.61666666666667,2,2,229,43.6653225806451,47.0141129032258,1,"rough",-4.09795995487244,4.09795995487244
"121",121,"616add9b2e397369ee179517","smooth","RS",2.04166666666667,2.0875,13,13,225,56.8951612903225,53.1572580645161,2,"smooth",-0.34731676656841,0.34731676656841
"122",122,"616add9b2e397369ee179517","rough","RS",1.95416666666667,1.92916666666667,12,12,224,49.4193548387096,53.1572580645161,1,"rough",-0.225328832323104,0.225328832323104
"123",123,"61534b6c1614a5478e1cad97","smooth","RS",1.54583333333333,1.9375,115,115,120,64.1935483870968,55.4495967741935,2,"smooth",1.82880708616899,-1.82880708616899
"124",124,"61534b6c1614a5478e1cad97","rough","RS",3.2125,2.5375,4,4,232,46.7056451612902,55.4495967741935,1,"rough",-1.19635857236484,1.19635857236484
"125",125,"5cd0909f6e2d5800163ed5de","smooth","RS",2.87083333333333,2.71666666666667,8,8,231,56.3629032258065,52.6270161290323,2,"smooth",-1.11837576336391,1.11837576336391
"126",126,"5cd0909f6e2d5800163ed5de","rough","RS",4.97083333333333,3.05,1,1,237,48.8911290322581,52.6270161290323,1,"rough",-2.23390027706815,2.23390027706815
"127",127,"5f34061f0db3510e84e37928","smooth","SR",2.97916666666667,3.58333333333333,39,39,200,65.1814516129031,59.9354838709676,1,"smooth",-1.07262243095932,1.07262243095932
"128",128,"5f34061f0db3510e84e37928","rough","SR",3.15833333333333,3.15833333333333,74,74,156,54.6895161290321,59.9354838709676,2,"rough",-0.17923432050106,0.17923432050106
"129",129,"6162fc52fa68079d28dc5be9","smooth","RS",2.89166666666667,3.10833333333333,27,27,210,60.9959677419355,56.3125,2,"smooth",-0.976632651976648,0.976632651976648
"130",130,"6162fc52fa68079d28dc5be9","rough","RS",4.46666666666667,3.07083333333333,50,50,176,51.6290322580645,56.3125,1,"rough",-1.03952745625498,1.03952745625498
"131",131,"5e907ee26870110009e83705","smooth","RS",2.85833333333333,3.37916666666667,43,43,192,60.0725806451615,56.7903225806453,2,"smooth",-0.801901010272403,0.801901010272403
"132",132,"5e907ee26870110009e83705","rough","RS",3.27083333333333,4.14166666666667,6,6,232,53.508064516129,56.7903225806453,1,"rough",-2.092480208485,2.092480208485
"133",133,"61674f47e2887da2ffd9bd55","smooth","RS",2.15,3.05416666666667,59,59,179,67.9233870967741,58.6713709677419,2,"smooth",-0.0816479616900892,0.0816479616900892
"134",134,"61674f47e2887da2ffd9bd55","rough","RS",3.84166666666667,3.14583333333333,10,10,219,49.4193548387098,58.6713709677419,1,"rough",-1.60238093474849,1.60238093474849
"135",135,"60df30c4e945892dc94a626c","smooth","RS",2.7375,2.0125,4,4,231,57.7661290322582,52.0181451612903,2,"smooth",-0.711805984723391,0.711805984723391
"136",136,"60df30c4e945892dc94a626c","rough","RS",3.76666666666667,2.34583333333333,5,5,226,46.2701612903224,52.0181451612903,1,"rough",-1.23906782632143,1.23906782632143
"137",137,"6102de6a11e4443a9ec8717e","smooth","RS",2.23333333333333,2.26666666666667,148,148,91,59.9637096774194,62.953629032258,2,"smooth",1.94936021318635,-1.94936021318635
"138",138,"6102de6a11e4443a9ec8717e","rough","RS",0.770833333333333,0.729166666666667,176,176,64,65.9435483870966,62.953629032258,1,"rough",3.87383905052033,-3.87383905052033
"139",139,"6166e78051425fa22de68491","smooth","SR",3.32083333333333,2.80833333333333,13,13,222,59.6129032258065,57.6451612903226,1,"smooth",-1.21417522733551,1.21417522733551
"140",140,"6166e78051425fa22de68491","rough","SR",2.34166666666667,1.9625,72,72,167,55.6774193548387,57.6451612903226,2,"rough",0.680715305342441,-0.680715305342441
"141",141,"6148d23ec2cc6a36048663f3","smooth","SR",2.57916666666667,3.37916666666667,2,2,228,61.0967741935485,53.4637096774194,1,"smooth",-1.40078677984657,1.40078677984657
"142",142,"6148d23ec2cc6a36048663f3","rough","SR",4.22916666666667,4.44583333333333,2,2,234,45.8306451612902,53.4637096774194,2,"rough",-2.68655744078805,2.68655744078805
"143",143,"5f4e76eff69af505fa21da55","smooth","SR",1.3375,1.8875,67,67,172,64.2822580645161,61.8608870967742,1,"smooth",1.01833565534125,-1.01833565534125
"144",144,"5f4e76eff69af505fa21da55","rough","SR",1.9375,2.30833333333333,109,109,129,59.4395161290322,61.8608870967742,2,"rough",1.33338853099011,-1.33338853099011
"145",145,"5d0e091ccd9c9300191cb9c9","smooth","SR",3.05833333333333,2.85,7,7,230,63.8548387096776,62.6915322580646,1,"smooth",-1.2647225151951,1.2647225151951
"146",146,"5d0e091ccd9c9300191cb9c9","rough","SR",2.77083333333333,2.64583333333333,103,103,131,61.5282258064516,62.6915322580646,2,"rough",0.750862034716489,-0.750862034716489
"147",147,"545d347afdf99b7f9fca22c7","smooth","RS",1.47916666666667,2.025,92,92,148,60.443548387097,58.1834677419355,2,"smooth",1.3370974227776,-1.3370974227776
"148",148,"545d347afdf99b7f9fca22c7","rough","RS",1.50833333333333,2.05,77,77,162,55.923387096774,58.1834677419355,1,"rough",1.0457027112394,-1.0457027112394
"149",149,"59b7eb9791f20c00012fe164","smooth","RS",0.975,1.0875,185,185,55,63.4637096774195,58.6552419354839,2,"smooth",3.76110005976768,-3.76110005976768
"150",150,"59b7eb9791f20c00012fe164","rough","RS",2.07916666666667,1.6625,97,97,141,53.8467741935484,58.6552419354839,1,"rough",1.41730759569356,-1.41730759569356
"151",151,"5bfd745a8acfed00011a6975","smooth","SR",2.04583333333333,2.47083333333333,11,11,227,62.8911290322582,56.7016129032259,1,"smooth",-0.59876163398147,0.59876163398147
"152",152,"5bfd745a8acfed00011a6975","rough","SR",3.6375,3.12916666666667,3,3,232,50.5120967741936,56.7016129032259,2,"rough",-1.6984853506146,1.6984853506146
"153",153,"5d595c1acf514a00177872ed","smooth","RS",1.72916666666667,1.80833333333333,8,8,227,62.5685483870966,57.1330645161289,2,"smooth",-0.135466370841953,0.135466370841953
"154",154,"5d595c1acf514a00177872ed","rough","RS",2.75833333333333,2.575,5,5,229,51.6975806451613,57.1330645161289,1,"rough",-1.00491391872839,1.00491391872839
"155",155,"5faab845ab732146df12e37d","smooth","RS",3.29166666666667,3.025,118,118,122,66.0846774193546,59.9858870967739,2,"smooth",0.558823114816712,-0.558823114816712
