subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,bonus,context,PCA,PEC,E,Novclicksp,HVclicksp,l,b,t,dlogl,dlogb,dlogt,NLL,dnov,dhv,dd,ddprev,logl,logb,logt
3lBCAuYe,rough,SR,2.15,208.541.666.666.667,235,235,245,588.568.548.375,612.439.516.125,2,241.045.506.910.714,rough,0.989541259,-0.989541259,3,0.510416667,0.489583333,131.845.388.554.666,0.129548252,0.042457125,-0.133974038,0.279531463,0.124024623,153.030.634.277.044,64,-64,-0.277083333,-0.302083333,0.120064944,-0.887568444,-137.204.942.194.145
TDZurfdC,smooth,SR,198.958.333.333.333,210.833.333.333.333,289,289,189,63.110.887.096.875,618.407.258.065.625,1,243.603.110.599.554,smooth,150.174.998.370.164,-150.174.998.370.164,3,0.39375,0.602083333,0.706847485,0.155397116,0.03990348,0.029222991,0.210379521,0.087830536,12.040.625.990.973,47,-44,-0.602083333,-0.4875,-0.150674283,-0.808557046,-139.898.923.218.759
TDZurfdC,rough,SR,259.166.666.666.667,259.583.333.333.333,333,333,142,6.057.056.451.625,618.407.258.065.625,2,243.603.110.599.554,rough,13.920.932.350.179,-13.920.932.350.179,3,0.295833333,0.69375,0.660849743,0.095733389,0.032597195,0.029222991,0.210379521,0.087830536,109.642.933.972.505,47,-44,-0.602083333,-0.4875,-0.179897274,-101.893.656.683.664,-14.868.197.686.601
x96QHwqj,smooth,RS,243.958.333.333.333,2.05,8,8,472,5.908.669.354.875,531.935.483.871.875,2,206.543.778.802.232,smooth,-101.123.006.264.077,101.123.006.264.077,3,0.983333333,0.016666667,0.641670293,0.561651513,0.09343351,-0.050526594,0.091803948,0.097495572,146.582.352.983.754,-4,7,-0.233333333,-0.29375,-0.192688066,-0.250533067,-10.294.973.370.197
x96QHwqj,rough,RS,267.291.666.666.667,234.375,1,1,476,47.300.403.225.625,531.935.483.871.875,1,206.543.778.802.232,rough,-130.361.821.538.194,130.361.821.538.194,3,0.991666667,0.002083333,0.720839419,0.454635123,0.074646095,-0.050526594,0.091803948,0.097495572,165.721.156.899.891,-4,7,-0.233333333,-0.29375,-0.142161472,-0.342337016,-112.699.290.875.419
j2XRoyIu,smooth,SR,173.333.333.333.333,218.958.333.333.333,216,216,263,6.606.048.387,63.742.943.548.125,1,251.755.472.349.107,smooth,0.940584346,-0.940584346,3,0.547916667,0.45,357.992.313.537.548,0.006737947,0.056661678,0.623583742,-142.526.973.068.848,0.099353199,148.199.900.717.248,26,-26,-0.233333333,-0.160416667,0.553873702,-217.147.240.951.626,-124.671.056.539.052
j2XRoyIu,rough,SR,196.666.666.666.667,2.35,242,242,237,6.142.540.322.625,63.742.943.548.125,2,251.755.472.349.107,rough,0.983480905,-0.983480905,3,0.49375,0.504166667,0.851706496,0.179389625,0.045075052,0.623583742,-142.526.973.068.848,0.099353199,138.773.335.767.481,26,-26,-0.233333333,-0.160416667,-0.06971004,-0.746202679,-134.606.376.426.001
xyDIs5Kd,smooth,RS,166.875,189.375,20,20,452,611.209.677.425,5.658.467.742,2,221.077.188.942.857,smooth,-0.494836878,0.494836878,3,0.941666667,0.041666667,0.701859555,0.460402151,0.07974373,0.033039121,0.095606507,0.1093467,140.672.253.525.881,38,-34,-0.7875,0.052083333,-0.153749783,-0.336862656,-109.830.345.168.743
xyDIs5Kd,rough,RS,245.625,184.166.666.666.667,54,54,414,520.483.870.975,5.658.467.742,1,221.077.188.942.857,rough,-0.470289414,0.470289414,3,0.8625,0.1125,0.650445773,0.369428874,0.061994027,0.033039121,0.095606507,0.1093467,147.907.438.170.107,38,-34,-0.7875,0.052083333,-0.186788904,-0.432469163,-120.765.015.150.175
zE39uz5y,smooth,RS,245.208.333.333.333,24.625,3,3,474,606.008.064.525,54.689.516.129.375,2,212.955.069.125.893,smooth,-126.406.256.472.689,126.406.256.472.689,3,0.9875,0.00625,176.311.399.364.001,0.658253646,0.064595795,131.177.816.071.216,0.225439166,-0.06366356,180.510.239.940.053,15,-3,-173.125,-0.954166667,124.628.039.239.482,-0.181606726,-118.979.575.051.323
zE39uz5y,rough,RS,418.333.333.333.333,341.666.666.666.667,6,6,459,4.877.822.580.625,54.689.516.129.375,1,212.955.069.125.893,rough,-236.572.633.859.358,236.572.633.859.358,3,0.95625,0.0125,0.860007486,0.391700483,0.074794181,131.177.816.071.216,0.225439166,-0.06366356,190.366.023.638.042,15,-3,-173.125,-0.954166667,-0.065497768,-0.407045893,-112.613.219.022.939
mTOAGxN5,smooth,SR,22.625,271.458.333.333.333,70,70,402,60.332.661.289.375,578.820.564.509.375,1,226.637.384.789.732,smooth,-0.740131558,0.740131558,3,0.8375,0.145833333,116.899.717.341.478,0.006737947,0.057419879,-0.075073755,0,0.138200743,171.484.082.342.737,125,-114,-0.670833333,0.0875,106.781.346.105.761,-217.147.240.951.626,-124.093.772.574.191
mTOAGxN5,rough,SR,293.333.333.333.333,262.708.333.333.333,184,184,277,554.314.516.125,578.820.564.509.375,2,226.637.384.789.732,rough,0.050058477,-0.050058477,3,0.577083333,0.383333333,138.959.171.432.393,0.006737947,0.041769717,-0.075073755,0,0.138200743,17.238.464.362.271,125,-114,-0.670833333,0.0875,114.288.721.589.232,-217.147.240.951.626,-137.913.846.824.905
AcfXidbB,smooth,RS,0.625,0.716666667,355,355,117,64.338.709.675.625,632.530.241.921.875,2,249.655.817.966.518,smooth,33.485.009.240.828,-33.485.009.240.828,3,0.24375,0.739583333,108.651.158.604.393,0.006737947,0.030158395,0.295392614,-136.827.482.821.564,-0.079462602,91.124.121.000.366,-38,35,-0.395833333,-0.410416667,0.036034362,-217.147.240.951.626,-152.059.177.126.398
AcfXidbB,rough,RS,102.083.333.333.333,112.708.333.333.333,320,320,155,6.216.733.870.875,632.530.241.921.875,1,249.655.817.966.518,rough,267.072.579.093.871,-267.072.579.093.871,3,0.322916667,0.666666667,0.550353519,0.157326695,0.036213528,0.295392614,-136.827.482.821.564,-0.079462602,132.867.029.733.543,-38,35,-0.395833333,-0.410416667,-0.259358253,-0.803197581,-144.112.916.899.821
gvvdN3G6,smooth,SR,137.916.666.666.667,148.958.333.333.333,232,232,247,6.480.443.548.375,640.010.080.646.875,1,252.861.463.134.375,smooth,158.339.498.066.655,-158.339.498.066.655,3,0.514583333,0.483333333,631.428.181.867.837,0.006737947,0.051036552,0.952733558,-12.760.389.579.956,0.173608583,13.059.494.290.101,99,-99,0.616666667,0.522916667,0.800323961,-217.147.240.951.626,-129.211.867.277.195
gvvdN3G6,rough,SR,0.7625,0.966666667,331,331,148,63.197.580.645.625,640.010.080.646.875,2,252.861.463.134.375,rough,29.315.502.517.762,-29.315.502.517.762,3,0.308333333,0.689583333,0.704028765,0.127223268,0.034219428,0.952733558,-12.760.389.579.956,0.173608583,102.774.429.080.835,99,-99,0.616666667,0.522916667,-0.152409596,-0.895433452,-146.572.725.606.666
qGQbseYJ,smooth,SR,286.041.666.666.667,344.375,95,95,384,6.452.419.354.875,60.824.596.774.375,1,239.248.271.890.179,smooth,-117.797.810.546.575,117.797.810.546.575,3,0.8,0.197916667,135.857.301.767.269,132.584.047.069.407,0.067879427,124.562.064.252.086,0.792144359,0.08210105,172.526.333.192.501,88,-86,-0.104166667,-0.195833333,113.308.298.491.081,0.122491272,-11.682.618.313.986
qGQbseYJ,rough,SR,296.458.333.333.333,363.958.333.333.333,181,181,296,57.125,60.824.596.774.375,2,239.248.271.890.179,rough,-0.591212236,0.591212236,3,0.616666667,0.377083333,0.771724597,0.213967057,0.056187165,124.562.064.252.086,0.792144359,0.08210105,17.470.803.624.848,88,-86,-0.104166667,-0.195833333,-0.112537658,-0.669653087,-12.503.628.816.924
JiIhncDd,smooth,SR,164.166.666.666.667,0.985416667,128,128,257,44.649.193.548.125,437.368.951.609.375,1,166.015.264.975.446,smooth,127.072.135.915.767,-127.072.135.915.767,3,0.535416667,0.266666667,125.209.039.601.106,0.006737947,0.088177884,144.925.884.267.614,-1.641.759.293.058,0.143013741,250.829.776.276.178,21,12,-0.052083333,0.129166667,109.763.568.436.291,-217.147.240.951.626,-10.546.403.293.431
JiIhncDd,rough,SR,169.375,0.85625,116,116,236,4.282.459.677.375,437.368.951.609.375,2,166.015.264.975.446,rough,135.708.460.095.357,-135.708.460.095.357,3,0.491666667,0.241666667,0.445017246,0.295315936,0.063437481,144.925.884.267.614,-1.641.759.293.058,0.143013741,211.380.472.604.927,21,12,-0.052083333,0.129166667,-0.351623158,-0.529713116,-11.976.540.702.366
6lXxUPU2,smooth,SR,152.083.333.333.333,1.85,153,153,321,627.540.322.575,615.977.822.571.875,1,242.561.923.959.375,smooth,0.694743374,-0.694743374,3,0.66875,0.31875,111.850.859.891.934,0.496987831,0.049679117,11.669.871.497.831,0.324622825,0.130083886,143.827.698.913.812,116,-114,0.31875,0.364583333,10.486.393.272.336,-0.303654245,-13.038.261.284.142
6lXxUPU2,rough,SR,120.208.333.333.333,148.541.666.666.667,267,267,205,60.441.532.256.875,615.977.822.571.875,2,242.561.923.959.375,rough,197.784.285.817.763,-197.784.285.817.763,3,0.427083333,0.55625,0.761468912,0.235354729,0.036820526,11.669.871.497.831,0.324622825,0.130083886,102.132.995.049.812,116,-114,0.31875,0.364583333,-0.118347823,-0.62827707,-143.391.001.434.379
bnUiwcOc,smooth,SR,239.791.666.666.667,3.15,2,2,478,61.076.612.901.875,5.502.217.741.875,1,214.380.760.366.071,smooth,-162.841.990.246.336,162.841.990.246.336,3,0.995833333,0.004166667,134.003.402.349.776,0.006737947,0.075142171,121.144.771.676.126,-180.956.502.217.503,-0.004335777,196.478.124.538.227,0,0,-0.845833333,0.05,112.711.582.525.268,-217.147.240.951.626,-112.411.626.231.808
bnUiwcOc,rough,SR,324.375,3.1,2,2,478,48.967.741.935.625,5.502.217.741.875,2,214.380.760.366.071,rough,-193.010.830.680.659,193.010.830.680.659,3,0.995833333,0.004166667,0.823508542,0.434602893,0.07589611,121.144.771.676.126,-180.956.502.217.503,-0.004335777,18.256.074.418.839,0,0,-0.845833333,0.05,-0.084331892,-0.361907387,-11.197.804.848.668
2MepxQlz,smooth,SR,2.525,303.333.333.333.333,10,10,462,5.551.814.516.125,501.290.322.578.125,1,193.410.138.247.768,smooth,-151.500.514.970.087,151.500.514.970.087,3,0.9625,0.020833333,193.420.843.874.438,0.69300274,0.069228724,130.233.178.785.205,0.055615146,-0.331241133,209.419.850.937.728,-9,6,-220.833.333.333.333,-169.583.333.333.334,128.650.327.373.804,-0.159265049,-115.971.367.257.828
