"","prolificID","assigned_condition","block_nr","trial_nr","grid","selected_choice","reward"
"1","672f9ecf9e2cd165b16e98e1",0,0,0,16,149,54
"2","672f9ecf9e2cd165b16e98e1",0,1,0,15,224,23
"3","672f9ecf9e2cd165b16e98e1",0,2,0,17,179,44
"4","672f9ecf9e2cd165b16e98e1",0,3,0,0,149,70
"5","672f9ecf9e2cd165b16e98e1",0,4,0,1,89,15
"6","672f9ecf9e2cd165b16e98e1",0,5,0,9,224,68
"7","672f9ecf9e2cd165b16e98e1",0,6,0,8,177,6
"8","672f9ecf9e2cd165b16e98e1",0,7,0,7,224,30
"9","672f9ecf9e2cd165b16e98e1",0,8,0,14,89,61
"10","672f9ecf9e2cd165b16e98e1",0,9,0,13,221,16
"11","672f9ecf9e2cd165b16e98e1",0,10,0,11,149,50
"12","672f9ecf9e2cd165b16e98e1",0,11,0,6,179,20
"13","672f9ecf9e2cd165b16e98e1",0,12,0,5,218,50
"14","672f9ecf9e2cd165b16e98e1",0,13,0,12,179,20
"15","672f9ecf9e2cd165b16e98e1",0,14,0,10,224,25
"16","672f9ecf9e2cd165b16e98e1",0,15,0,18,221,10
"17","672f9ecf9e2cd165b16e98e1",0,16,0,2,219,76
"18","672f9ecf9e2cd165b16e98e1",0,17,0,4,120,64
"19","672f9ecf9e2cd165b16e98e1",0,18,0,19,89,70
"20","672f9ecf9e2cd165b16e98e1",0,19,0,3,73,5
"21","5b258c9ba7cee100011d8aad",3,0,0,4,120,38
"22","5b258c9ba7cee100011d8aad",3,1,0,2,219,68
"23","5b258c9ba7cee100011d8aad",3,2,0,19,89,50
"24","5b258c9ba7cee100011d8aad",3,3,0,18,221,65
"25","5b258c9ba7cee100011d8aad",3,4,0,3,73,20
"26","5b258c9ba7cee100011d8aad",3,5,0,11,149,70
"27","5b258c9ba7cee100011d8aad",3,6,0,5,218,55
"28","5b258c9ba7cee100011d8aad",3,7,0,10,224,70
"29","5b258c9ba7cee100011d8aad",3,8,0,6,179,40
"30","5b258c9ba7cee100011d8aad",3,9,0,12,179,60
"31","5b258c9ba7cee100011d8aad",3,10,0,7,224,30
"32","5b258c9ba7cee100011d8aad",3,11,0,8,177,15
"33","5b258c9ba7cee100011d8aad",3,12,0,13,221,69
"34","5b258c9ba7cee100011d8aad",3,13,0,14,89,50
"35","5b258c9ba7cee100011d8aad",3,14,0,9,224,70
"36","5b258c9ba7cee100011d8aad",3,15,0,15,224,65
"37","5b258c9ba7cee100011d8aad",3,16,0,16,149,60
"38","5b258c9ba7cee100011d8aad",3,17,0,17,179,33
"39","5b258c9ba7cee100011d8aad",3,18,0,1,89,50
"40","5b258c9ba7cee100011d8aad",3,19,0,0,149,70
"41","5d7d467f306346001a7a6844",0,0,0,13,221,50
"42","5d7d467f306346001a7a6844",0,1,0,9,224,70
"43","5d7d467f306346001a7a6844",0,2,0,7,224,20
"44","5d7d467f306346001a7a6844",0,3,0,8,177,15
"45","5d7d467f306346001a7a6844",0,4,0,14,89,40
"46","5d7d467f306346001a7a6844",0,5,0,6,179,30
"47","5d7d467f306346001a7a6844",0,6,0,11,149,30
"48","5d7d467f306346001a7a6844",0,7,0,10,224,25
"49","5d7d467f306346001a7a6844",0,8,0,12,179,15
"50","5d7d467f306346001a7a6844",0,9,0,5,218,30
"51","5d7d467f306346001a7a6844",0,10,0,4,120,30
"52","5d7d467f306346001a7a6844",0,11,0,18,221,25
"53","5d7d467f306346001a7a6844",0,12,0,19,89,25
"54","5d7d467f306346001a7a6844",0,13,0,3,73,5
"55","5d7d467f306346001a7a6844",0,14,0,2,219,65
"56","5d7d467f306346001a7a6844",0,15,0,17,179,30
"57","5d7d467f306346001a7a6844",0,16,0,16,149,30
"58","5d7d467f306346001a7a6844",0,17,0,1,89,40
"59","5d7d467f306346001a7a6844",0,18,0,15,224,40
"60","5d7d467f306346001a7a6844",0,19,0,0,149,35
"61","668796f32bb0599e8ff9bfef",1,0,0,12,179,9
"62","668796f32bb0599e8ff9bfef",1,1,0,5,218,81
"63","668796f32bb0599e8ff9bfef",1,2,0,11,149,48
"64","668796f32bb0599e8ff9bfef",1,3,0,10,224,78
"65","668796f32bb0599e8ff9bfef",1,4,0,6,179,24
"66","668796f32bb0599e8ff9bfef",1,5,0,4,120,71
"67","668796f32bb0599e8ff9bfef",1,6,0,18,221,9
"68","668796f32bb0599e8ff9bfef",1,7,0,3,73,2
"69","668796f32bb0599e8ff9bfef",1,8,0,19,89,54
"70","668796f32bb0599e8ff9bfef",1,9,0,2,219,81
"71","668796f32bb0599e8ff9bfef",1,10,0,17,179,9
"72","668796f32bb0599e8ff9bfef",1,11,0,16,149,42
"73","668796f32bb0599e8ff9bfef",1,12,0,1,89,9
"74","668796f32bb0599e8ff9bfef",1,13,0,15,224,70
"75","668796f32bb0599e8ff9bfef",1,14,0,0,149,50
"76","668796f32bb0599e8ff9bfef",1,15,0,8,177,9
"77","668796f32bb0599e8ff9bfef",1,16,0,14,89,40
"78","668796f32bb0599e8ff9bfef",1,17,0,7,224,9
"79","668796f32bb0599e8ff9bfef",1,18,0,13,221,9
