subjectID,Grid,ls,lr,smooth.expectations,rough.expectations
51,8,102.295.223.862.801,0.760378872,472.825.145.775.816,399.653.708.752.125
51,9,102.295.223.862.801,0.760378872,780.788.400.590.767,40.000.314.556.062
51,10,102.295.223.862.801,0.760378872,-108.802.538.480.842,40
51,11,102.295.223.862.801,0.760378872,862.279.389.572.928,40.000.000.006.529
51,12,102.295.223.862.801,0.760378872,-344.081.239.621.967,40
51,13,102.295.223.862.801,0.760378872,-491.300.404.216.585,40
51,14,102.295.223.862.801,0.760378872,989.790.068.315.704,400.000.000.150.951
51,15,102.295.223.862.801,0.760378872,-108.802.538.480.842,40
51,16,102.295.223.862.801,0.760378872,862.279.389.572.928,40.000.000.006.529
51,17,102.295.223.862.801,0.760378872,-147.200.439.420.499,40
51,18,102.295.223.862.801,0.760378872,-491.300.404.216.585,40
51,19,102.295.223.862.801,0.760378872,989.790.068.315.704,400.000.000.150.951
52,0,101.175.041.756.215,404.016.341.433.476,400.506.558.997.015,874.951.711.175.206
52,1,101.175.041.756.215,404.016.341.433.476,399.999.999.999.999,-262.272.950.727.711
52,2,101.175.041.756.215,404.016.341.433.476,404.559.995.208.383,818.290.073.804.989
52,3,101.175.041.756.215,404.016.341.433.476,395.809.734.132.837,225.637.259.213.012
52,4,101.175.041.756.215,404.016.341.433.476,400.098.297.033.944,907.186.024.918.182
52,5,101.175.041.756.215,404.016.341.433.476,40,883.374.137.384.448
52,6,101.175.041.756.215,404.016.341.433.476,399.999.999.998.603,478.802.993.029.937
52,7,101.175.041.756.215,404.016.341.433.476,40,106.463.594.284.978
52,8,101.175.041.756.215,404.016.341.433.476,392.969.869.881.618,0.379998454
52,9,101.175.041.756.215,404.016.341.433.476,400.418.320.565.565,815.318.635.081.259
52,10,101.175.041.756.215,404.016.341.433.476,40,-516.526.690.193.004
52,11,101.175.041.756.215,404.016.341.433.476,400.000.800.744.721,93.517.773.940.875
52,12,101.175.041.756.215,404.016.341.433.476,40,-364.019.191.843.095
52,13,101.175.041.756.215,404.016.341.433.476,40,-302.410.511.137.583
52,14,101.175.041.756.215,404.016.341.433.476,400.001.840.101.925,113.009.245.138.621
52,15,101.175.041.756.215,404.016.341.433.476,40,-516.526.690.193.004
52,16,101.175.041.756.215,404.016.341.433.476,400.000.800.744.721,93.517.773.940.875
52,17,101.175.041.756.215,404.016.341.433.476,40,-329.321.477.799.615
52,18,101.175.041.756.215,404.016.341.433.476,40,-302.410.511.137.583
52,19,101.175.041.756.215,404.016.341.433.476,400.001.840.101.925,113.009.245.138.621
53,0,220.801.530.243.012,0.665127851,86.204.415.339.299,4.000.001.206.075
53,1,220.801.530.243.012,0.665127851,-216.841.123.435.342,40
53,2,220.801.530.243.012,0.665127851,813.796.259.114.742,400.014.143.489.802
53,3,220.801.530.243.012,0.665127851,314.905.744.427.612,399.987.003.279.641
53,4,220.801.530.243.012,0.665127851,962.341.095.787.421,400.000.003.102.198
53,5,220.801.530.243.012,0.665127851,8.428.226.289.762,40
53,6,220.801.530.243.012,0.665127851,742.825.347.329.889,40
53,7,220.801.530.243.012,0.665127851,10.152.316.424.512,40
53,8,220.801.530.243.012,0.665127851,115.508.910.504.639,39.995.857.452.118
53,9,220.801.530.243.012,0.665127851,814.063.902.758.094,400.000.099.812.744
53,10,220.801.530.243.012,0.665127851,-486.846.611.947.978,40
53,11,220.801.530.243.012,0.665127851,932.154.737.728.907,400.000.000.000.086
53,12,220.801.530.243.012,0.665127851,-307.310.863.549.235,40
53,13,220.801.530.243.012,0.665127851,-263.935.481.084.596,40
53,14,220.801.530.243.012,0.665127851,110.761.659.038.366,400.000.000.000.198
53,15,220.801.530.243.012,0.665127851,-486.846.611.947.978,40
53,16,220.801.530.243.012,0.665127851,932.154.737.728.907,400.000.000.000.086
53,17,220.801.530.243.012,0.665127851,-275.292.700.124.301,40
53,18,220.801.530.243.012,0.665127851,-263.935.481.084.596,40
53,19,220.801.530.243.012,0.665127851,110.761.659.038.366,400.000.000.000.198
54,0,0.698564021,0.71937331,400.000.475.987.963,400.001.017.247.237
54,1,0.698564021,0.71937331,40,40
54,2,0.698564021,0.71937331,400.036.586.883.701,400.061.897.006.443
54,3,0.698564021,0.71937331,399.966.379.620.383,399.943.121.669.755
54,4,0.698564021,0.71937331,400.000.016.778.697,400.000.042.744.821
54,5,0.698564021,0.71937331,40,40
54,6,0.698564021,0.71937331,40,40
54,7,0.698564021,0.71937331,40,40
54,8,0.698564021,0.71937331,399.903.578.658.176,399.846.132.883.202
54,9,0.698564021,0.71937331,400.000.393.916.996,400.000.841.844.155
54,10,0.698564021,0.71937331,40,40
54,11,0.698564021,0.71937331,400.000.000.001.201,400.000.000.005.174
54,12,0.698564021,0.71937331,40,40
54,13,0.698564021,0.71937331,40,40
54,14,0.698564021,0.71937331,400.000.000.002.777,400.000.000.011.965
54,15,0.698564021,0.71937331,40,40
54,16,0.698564021,0.71937331,400.000.000.001.201,400.000.000.005.174
54,17,0.698564021,0.71937331,40,40
54,18,0.698564021,0.71937331,40,40
54,19,0.698564021,0.71937331,400.000.000.002.777,400.000.000.011.965
55,0,218.347.684.967.427,0.543024407,861.609.904.854.768,400.000.000.077.466
55,1,218.347.684.967.427,0.543024407,-215.331.850.892.084,40
55,2,218.347.684.967.427,0.543024407,813.635.491.587.362,400.000.087.202.769
55,3,218.347.684.967.427,0.543024407,317.729.517.763.068,399.999.919.867.726
55,4,218.347.684.967.427,0.543024407,962.791.546.506.374,400.000.000.000.377
55,5,218.347.684.967.427,0.543024407,841.393.882.575.919,40
55,6,218.347.684.967.427,0.543024407,751.104.948.417.426,40
55,7,218.347.684.967.427,0.543024407,101.358.846.532.798,40
55,8,218.347.684.967.427,0.543024407,118.032.185.773.851,399.999.550.427.528
55,9,218.347.684.967.427,0.543024407,813.891.006.116.533,40.000.000.006.411
55,10,218.347.684.967.427,0.543024407,-484.350.729.739.604,40
55,11,218.347.684.967.427,0.543024407,931.780.175.649.428,40
55,12,218.347.684.967.427,0.543024407,-305.264.481.231.133,40
55,13,218.347.684.967.427,0.543024407,-26.242.597.626.333,40
55,14,218.347.684.967.427,0.543024407,110.682.623.296.646,40
55,15,218.347.684.967.427,0.543024407,-484.350.729.739.604,40
55,16,218.347.684.967.427,0.543024407,931.780.175.649.428,40
55,17,218.347.684.967.427,0.543024407,-273.339.795.708.668,40
55,18,218.347.684.967.427,0.543024407,-26.242.597.626.333,40
55,19,218.347.684.967.427,0.543024407,110.682.623.296.646,40
56,0,176.311.399.364.001,0.860007486,851.237.604.907.238,400.044.219.013.541
56,1,176.311.399.364.001,0.860007486,-179.748.431.609.328,40
56,2,176.311.399.364.001,0.860007486,809.735.917.486.799,400.842.938.739.006
56,3,176.311.399.364.001,0.860007486,38.399.332.680.121,399.225.407.645.238
56,4,176.311.399.364.001,0.860007486,967.714.928.351.738,400.004.565.865.872
56,5,176.311.399.364.001,0.860007486,807.671.255.412.498,40
56,6,176.311.399.364.001,0.860007486,943.900.066.819.669,40
56,7,176.311.399.364.001,0.860007486,97.491.428.347.101,40
56,8,176.311.399.364.001,0.860007486,177.910.347.009.995,39.843.231.738.298
56,9,176.311.399.364.001,0.860007486,80.926.365.889.365,400.036.582.726.585
56,10,176.311.399.364.001,0.860007486,-420.555.796.602.451,40
56,11,176.311.399.364.001,0.860007486,921.826.610.958.284,400.000.007.322.814
56,12,176.311.399.364.001,0.860007486,-25.666.892.800.277,40
56,13,176.311.399.364.001,0.860007486,-225.966.824.825.761,40
56,14,176.311.399.364.001,0.860007486,108.779.789.059.675,400.000.016.914.652
56,15,176.311.399.364.001,0.860007486,-420.555.796.602.451,40
56,16,176.311.399.364.001,0.860007486,921.826.610.958.284,400.000.007.322.814
56,17,176.311.399.364.001,0.860007486,-226.953.699.560.912,40
56,18,176.311.399.364.001,0.860007486,-225.966.824.825.761,40
56,19,176.311.399.364.001,0.860007486,108.779.789.059.675,400.000.016.914.652
57,0,134.003.402.349.776,0.823508542,830.522.593.774.271,400.019.942.771.761
57,1,134.003.402.349.776,0.823508542,-111.456.349.238.418,40
57,2,134.003.402.349.776,0.823508542,80.168.979.938.793,400.485.712.994.515
57,3,134.003.402.349.776,0.823508542,510.995.715.426.943,399.553.669.140.176
57,4,134.003.402.349.776,0.823508542,963.675.077.014.614,400.001.694.268.952
57,5,134.003.402.349.776,0.823508542,743.879.264.420.553,40
57,6,134.003.402.349.776,0.823508542,130.558.235.711.388,40
57,7,134.003.402.349.776,0.823508542,901.152.674.933.633,40
57,8,134.003.402.349.776,0.823508542,296.060.415.309.177,39.903.961.877.291
57,9,134.003.402.349.776,0.823508542,798.672.613.095.371,400.016.501.346.152
57,10,134.003.402.349.776,0.823508542,-290.011.831.953.906,40
57,11,134.003.402.349.776,0.823508542,899.368.014.956.223,400.000.001.582.784
57,12,134.003.402.349.776,0.823508542,-163.508.903.931.517,40
57,13,134.003.402.349.776,0.823508542,-153.764.140.078.998,40
57,14,134.003.402.349.776,0.823508542,104.930.091.194.975,400.000.003.657.782
57,15,134.003.402.349.776,0.823508542,-290.011.831.953.906,40
57,16,134.003.402.349.776,0.823508542,899.368.014.956.223,400.000.001.582.784
57,17,134.003.402.349.776,0.823508542,-138.005.058.471.951,40
57,18,134.003.402.349.776,0.823508542,-153.764.140.078.998,40
57,19,134.003.402.349.776,0.823508542,104.930.091.194.975,400.000.003.657.782
58,0,216.610.761.395.879,0.665605072,861.293.690.702.223,400.000.123.174.557
58,1,216.610.761.395.879,0.665605072,-214.233.781.566.593,40
58,2,216.610.761.395.879,0.665605072,813.518.269.558.792,40.001.435.122.286
58,3,216.610.761.395.879,0.665605072,319.782.759.383.459,399.986.812.389.805
58,4,216.610.761.395.879,0.665605072,963.101.554.524.778,400.000.003.183.521
58,5,216.610.761.395.879,0.665605072,840.353.970.689.218,40
58,6,216.610.761.395.879,0.665605072,757.122.014.388.916,40
58,7,216.610.761.395.879,0.665605072,101.239.309.026.061,40
58,8,216.610.761.395.879,0.665605072,119.868.506.281.235,39.995.803.412.603
58,9,216.610.761.395.879,0.665605072,813.763.593.853.387,400.000.101.937.192
58,10,216.610.761.395.879,0.665605072,-482.518.282.988.399,40
58,11,216.610.761.395.879,0.665605072,931.504.325.503.036,400.000.000.000.089
58,12,216.610.761.395.879,0.665605072,-303.774.257.700.147,40
58,13,216.610.761.395.879,0.665605072,-261.325.052.623.369,40
58,14,216.610.761.395.879,0.665605072,110.625.027.384.874,400.000.000.000.206
58,15,216.610.761.395.879,0.665605072,-482.518.282.988.399,40
58,16,216.610.761.395.879,0.665605072,931.504.325.503.036,400.000.000.000.089
58,17,216.610.761.395.879,0.665605072,-27.191.761.226.282,40
58,18,216.610.761.395.879,0.665605072,-261.325.052.623.369,40
58,19,216.610.761.395.879,0.665605072,110.625.027.384.874,400.000.000.000.206
59,0,808.994.090.373.563,0.746095146,760.624.777.309.392,400.002.461.342.663
59,1,808.994.090.373.563,0.746095146,90.592.064.550.484,40
59,2,808.994.090.373.563,0.746095146,772.099.076.808.674,400.114.114.189.262
59,3,808.994.090.373.563,0.746095146,887.935.007.590.775,39.989.513.831.257
59,4,808.994.090.373.563,0.746095146,919.218.809.772.875,400.000.127.085.707
59,5,808.994.090.373.563,0.746095146,569.768.469.748.049,40
59,6,808.994.090.373.563,0.746095146,233.016.052.334.282,40
59,7,808.994.090.373.563,0.746095146,687.873.537.040.548,40
59,8,808.994.090.373.563,0.746095146,681.166.955.198.087,399.734.968.844.375
59,9,808.994.090.373.563,0.746095146,756.530.759.560.258,40.000.203.689.864
59,10,808.994.090.373.563,0.746095146,729.502.089.361.085,40
59,11,808.994.090.373.563,0.746095146,813.619.188.839.173,400.000.000.028.305
59,12,808.994.090.373.563,0.746095146,100.282.082.095.559,40
59,13,808.994.090.373.563,0.746095146,671.234.570.881.548,40
59,14,808.994.090.373.563,0.746095146,916.054.571.750.803,400.000.000.065.446
59,15,808.994.090.373.563,0.746095146,729.502.089.361.085,40
59,16,808.994.090.373.563,0.746095146,813.619.188.839.173,400.000.000.028.305
59,17,808.994.090.373.563,0.746095146,113.915.197.848.708,40
59,18,808.994.090.373.563,0.746095146,671.234.570.881.548,40
59,19,808.994.090.373.563,0.746095146,916.054.571.750.803,400.000.000.065.446
60,0,18.309.781.979.271,0.653277054,441.717.888.956.658,400.000.070.431.289
60,1,18.309.781.979.271,0.653277054,399.990.508.243.692,40
60,2,18.309.781.979.271,0.653277054,496.651.907.549.097,400.009.746.024.401
60,3,18.309.781.979.271,0.653277054,311.185.019.964.808,399.991.044.193.794
60,4,18.309.781.979.271,0.653277054,434.824.820.232.126,400.000.001.602.189
60,5,18.309.781.979.271,0.653277054,399.999.995.034.438,40
60,6,18.309.781.979.271,0.653277054,399.935.746.100.273,40
60,7,18.309.781.979.271,0.653277054,400.001.355.748.376,40
60,8,18.309.781.979.271,0.653277054,293.874.753.508.991,399.970.248.535.518
60,9,18.309.781.979.271,0.653277054,433.999.912.208.663,400.000.058.287.824
60,10,18.309.781.979.271,0.653277054,399.999.999.819.036,40
60,11,18.309.781.979.271,0.653277054,404.654.892.778.227,40.000.000.000.003
60,12,18.309.781.979.271,0.653277054,399.999.946.859.135,40
60,13,18.309.781.979.271,0.653277054,399.999.152.169.779,40
60,14,18.309.781.979.271,0.653277054,408.902.053.130.236,40.000.000.000.007
60,15,18.309.781.979.271,0.653277054,399.999.999.819.036,40
60,16,18.309.781.979.271,0.653277054,404.654.892.778.227,40.000.000.000.003
60,17,18.309.781.979.271,0.653277054,399.999.951.444.481,40
60,18,18.309.781.979.271,0.653277054,399.999.152.169.779,40
60,19,18.309.781.979.271,0.653277054,408.902.053.130.236,40.000.000.000.007
61,0,16.258.784.366.117,0.714853928,846.108.904.452.633,400.000.867.431.584
61,1,16.258.784.366.117,0.714853928,-162.492.511.777.429,40
61,2,16.258.784.366.117,0.714853928,807.773.351.917.696,400.055.432.949.196
61,3,16.258.784.366.117,0.714853928,416.057.554.913.428,399.949.061.614.252
61,4,16.258.784.366.117,0.714853928,967.757.333.064.698,400.000.035.127.382
61,5,16.258.784.366.117,0.714853928,791.394.660.014.906,40
61,6,16.258.784.366.117,0.714853928,103.616.576.552.159,40
61,7,16.258.784.366.117,0.714853928,956.214.178.260.667,40
61,8,16.258.784.366.117,0.714853928,207.316.517.685.793,399.860.502.455.797
61,9,16.258.784.366.117,0.714853928,80.675.927.197.879,400.000.717.862.625
61,10,16.258.784.366.117,0.714853928,-38.791.521.559.541,40
61,11,16.258.784.366.117,0.714853928,916.480.138.129.033,400.000.000.003.809
61,12,16.258.784.366.117,0.714853928,-233.044.503.046.612,40
61,13,16.258.784.366.117,0.714853928,-207.914.956.206.012,40
61,14,16.258.784.366.117,0.714853928,107.831.613.678.859,400.000.000.008.807
61,15,16.258.784.366.117,0.714853928,-38.791.521.559.541,40
61,16,16.258.784.366.117,0.714853928,916.480.138.129.033,400.000.000.003.809
61,17,16.258.784.366.117,0.714853928,-204.399.187.805.569,40
61,18,16.258.784.366.117,0.714853928,-207.914.956.206.012,40
61,19,16.258.784.366.117,0.714853928,107.831.613.678.859,400.000.000.008.807
62,0,135.364.615.324.744,0.452069158,831.468.093.142.993,400.000.000.000.004
62,1,135.364.615.324.744,0.452069158,-114.491.573.918.884,40
62,2,135.364.615.324.744,0.452069158,802.063.819.939.812,400.000.000.101.231
62,3,135.364.615.324.744,0.452069158,505.342.375.038.812,399.999.999.906.977
62,4,135.364.615.324.744,0.452069158,964.040.735.180.127,40
62,5,135.364.615.324.744,0.452069158,746.674.456.322.621,40
62,6,135.364.615.324.744,0.452069158,128.969.167.682.472,40
62,7,135.364.615.324.744,0.452069158,904.416.289.634.293,40
62,8,135.364.615.324.744,0.452069158,290.702.566.268.821,399.999.998.894.092
62,9,135.364.615.324.744,0.452069158,799.179.391.642.691,400.000.000.000.004
62,10,135.364.615.324.744,0.452069158,-29.583.170.488.872,40
62,11,135.364.615.324.744,0.452069158,90.043.397.963.294,40
62,12,135.364.615.324.744,0.452069158,-167.623.242.133.369,40
62,13,135.364.615.324.744,0.452069158,-15.700.931.884.025,40
62,14,135.364.615.324.744,0.452069158,105.106.866.193.362,40
62,15,135.364.615.324.744,0.452069158,-29.583.170.488.872,40
62,16,135.364.615.324.744,0.452069158,90.043.397.963.294,40
62,17,135.364.615.324.744,0.452069158,-141.933.750.799.822,40
62,18,135.364.615.324.744,0.452069158,-15.700.931.884.025,40
62,19,135.364.615.324.744,0.452069158,105.106.866.193.362,40
63,0,833.346.707.786.924,0.769093154,766.046.160.030.457,400.004.896.911.647
63,1,833.346.707.786.924,0.769093154,765.336.405.803.544,40
63,2,833.346.707.786.924,0.769093154,77.454.679.770.905,400.183.724.342.924
63,3,833.346.707.786.924,0.769093154,861.810.320.999.587,399.831.172.225.421
63,4,833.346.707.786.924,0.769093154,923.515.688.887.589,400.000.297.274.669
63,5,833.346.707.786.924,0.769093154,580.959.235.355.593,40
63,6,833.346.707.786.924,0.769093154,226.085.192.629.362,40
63,7,833.346.707.786.924,0.769093154,702.408.506.243.347,40
63,8,833.346.707.786.924,0.769093154,65.223.759.858.005,399.595.290.685.219
63,9,833.346.707.786.924,0.769093154,760.141.306.950.912,400.004.052.364.675
63,10,833.346.707.786.924,0.769093154,499.145.558.231.438,40
63,11,833.346.707.786.924,0.769093154,820.740.297.296.418,400.000.000.106.275
63,12,833.346.707.786.924,0.769093154,827.540.459.946.201,40
63,13,833.346.707.786.924,0.769093154,514.825.815.226.244,40
63,14,833.346.707.786.924,0.769093154,926.577.227.760.089,400.000.000.245.699
63,15,833.346.707.786.924,0.769093154,499.145.558.231.438,40
63,16,833.346.707.786.924,0.769093154,820.740.297.296.418,400.000.000.106.275
63,17,833.346.707.786.924,0.769093154,97.174.735.543.461,40
63,18,833.346.707.786.924,0.769093154,514.825.815.226.244,40
63,19,833.346.707.786.924,0.769093154,926.577.227.760.089,400.000.000.245.699
64,0,210.615.032.050.457,0.70196159,860.142.474.326.919,400.000.541.325.092
64,1,210.615.032.050.457,0.70196159,-210.243.028.920.554,40
64,2,210.615.032.050.457,0.70196159,813.090.470.837.705,400.039.994.405.184
64,3,210.615.032.050.457,0.70196159,327.237.484.287.976,399.963.248.384.426
64,4,210.615.032.050.457,0.70196159,964.112.675.671.269,40.000.001.965.661
64,5,210.615.032.050.457,0.70196159,836.572.198.067.178,40
64,6,210.615.032.050.457,0.70196159,778.945.128.914.706,40
64,7,210.615.032.050.457,0.70196159,100.804.957.120.685,40
64,8,210.615.032.050.457,0.70196159,126.546.576.248.713,399.895.636.195.683
64,9,210.615.032.050.457,0.70196159,813.289.859.403.689,40.000.044.798.806
64,10,210.615.032.050.457,0.70196159,-475.752.098.413.723,40
64,11,210.615.032.050.457,0.70196159,930.479.863.185.833,400.000.000.001.538
64,12,210.615.032.050.457,0.70196159,-298.349.684.124.881,40
64,13,210.615.032.050.457,0.70196159,-257.306.412.257.455,40
64,14,210.615.032.050.457,0.70196159,110.415.057.441.043,400.000.000.003.557
64,15,210.615.032.050.457,0.70196159,-475.752.098.413.723,40
64,16,210.615.032.050.457,0.70196159,930.479.863.185.833,400.000.000.001.538
64,17,210.615.032.050.457,0.70196159,-266.740.499.716.128,40
64,18,210.615.032.050.457,0.70196159,-257.306.412.257.455,40
64,19,210.615.032.050.457,0.70196159,110.415.057.441.043,400.000.000.003.557
65,0,0.680089318,0.633324447,400.000.228.580.888,400.000.026.571.801
65,1,0.680089318,0.633324447,40,40
65,2,0.680089318,0.633324447,400.022.018.443.369,400.004.962.982.534
65,3,0.680089318,0.633324447,399.979.766.835.823,399.995.439.421.455
65,4,0.680089318,0.633324447,400.000.006.806.625,400.000.000.484.159
65,5,0.680089318,0.633324447,40,40
65,6,0.680089318,0.633324447,40,40
65,7,0.680089318,0.633324447,40,40
65,8,0.680089318,0.633324447,399.938.604.198.186,399.983.669.910.211
65,9,0.680089318,0.633324447,400.000.189.169.276,400.000.021.990.432
65,10,0.680089318,0.633324447,40,40
65,11,0.680089318,0.633324447,400.000.000.000.293,400.000.000.000.005
65,12,0.680089318,0.633324447,40,40
65,13,0.680089318,0.633324447,40,40
65,14,0.680089318,0.633324447,400.000.000.000.678,400.000.000.000.011
65,15,0.680089318,0.633324447,40,40
65,16,0.680089318,0.633324447,400.000.000.000.293,400.000.000.000.005
65,17,0.680089318,0.633324447,40,40
65,18,0.680089318,0.633324447,40,40
65,19,0.680089318,0.633324447,400.000.000.000.678,400.000.000.000.011
66,0,135.857.301.767.269,0.771724597,831.804.190.504.127,400.005.277.315.445
66,1,135.857.301.767.269,0.771724597,-115.572.406.868.926,40
66,2,135.857.301.767.269,0.771724597,802.196.618.858.182,400.193.490.801.667
66,3,135.857.301.767.269,0.771724597,503.329.478.080.669,399.822.197.641.711
66,4,135.857.301.767.269,0.771724597,964.167.919.466.906,400.000.326.089.143
66,5,135.857.301.767.269,0.771724597,747.670.827.628.661,40
66,6,135.857.301.767.269,0.771724597,128.402.920.188.179,40
66,7,135.857.301.767.269,0.771724597,90.557.880.239.666,40
66,8,135.857.301.767.269,0.771724597,288.797.213.527.457,399.576.222.855.647
66,9,135.857.301.767.269,0.771724597,79.935.908.599.637,400.004.367.145.981
66,10,135.857.301.767.269,0.771724597,-297.905.090.050.907,40
66,11,135.857.301.767.269,0.771724597,900.812.152.856.499,400.000.000.122.721
66,12,135.857.301.767.269,0.771724597,-169.089.099.330.744,40
66,13,135.857.301.767.269,0.771724597,-158.164.257.084.071,40
66,14,135.857.301.767.269,0.771724597,10.516.968.195.716,400.000.000.283.718
66,15,135.857.301.767.269,0.771724597,-297.905.090.050.907,40
66,16,135.857.301.767.269,0.771724597,900.812.152.856.499,400.000.000.122.721
66,17,135.857.301.767.269,0.771724597,-14.333.346.024.951,40
66,18,135.857.301.767.269,0.771724597,-158.164.257.084.071,40
66,19,135.857.301.767.269,0.771724597,10.516.968.195.716,400.000.000.283.718
67,0,0.968480558,131.845.388.554.666,400.283.599.548.288,406.893.230.450.724
67,1,0.968480558,131.845.388.554.666,40,39.999.999.923.123
67,2,0.968480558,131.845.388.554.666,403.051.793.320.308,427.790.594.578.972
67,3,0.968480558,131.845.388.554.666,397.195.649.381.339,374.462.696.876.072
67,4,0.968480558,131.845.388.554.666,400.047.077.366.768,402.932.553.024.993
67,5,0.968480558,131.845.388.554.666,40,399.999.999.999.997
67,6,0.968480558,131.845.388.554.666,399.999.999.999.863,399.999.952.101.629
67,7,0.968480558,131.845.388.554.666,40,400.000.000.015.979
67,8,0.968480558,131.845.388.554.666,395.080.364.772.103,364.950.487.541.677
67,9,0.968480558,131.845.388.554.666,400.234.377.247.526,405.629.007.044.393
67,10,0.968480558,131.845.388.554.666,40,40
67,11,0.968480558,131.845.388.554.666,400.000.261.882.731,400.125.775.388.722
67,12,0.968480558,131.845.388.554.666,40,399.999.999.999.946
67,13,0.968480558,131.845.388.554.666,40,399.999.999.993.453
67,14,0.968480558,131.845.388.554.666,400.000.603.075.506,400.278.750.119.965
67,15,0.968480558,131.845.388.554.666,40,40
67,16,0.968480558,131.845.388.554.666,400.000.261.882.731,400.125.775.388.722
67,17,0.968480558,131.845.388.554.666,40,399.999.999.999.952
67,18,0.968480558,131.845.388.554.666,40,399.999.999.993.453
67,19,0.968480558,131.845.388.554.666,400.000.603.075.506,400.278.750.119.965
68,0,0.655854756,0.591389991,400.000.079.370.299,40.000.000.246.002
68,1,0.655854756,0.591389991,40,40
68,2,0.655854756,0.591389991,400.010.586.514.354,400.000.955.553.381
68,3,0.655854756,0.591389991,399.990.271.851.674,39.999.912.192.392
68,4,0.655854756,0.591389991,400.000.001.855.432,400.000.000.026.137
68,5,0.655854756,0.591389991,40,40
68,6,0.655854756,0.591389991,40,40
68,7,0.655854756,0.591389991,40,40
68,8,0.655854756,0.591389991,399.967.978.466.759,399.996.224.283.106
68,9,0.655854756,0.591389991,400.000.065.685.593,400.000.002.035.878
68,10,0.655854756,0.591389991,40,40
68,11,0.655854756,0.591389991,400.000.000.000.038,40
68,12,0.655854756,0.591389991,40,40
68,13,0.655854756,0.591389991,40,40
68,14,0.655854756,0.591389991,400.000.000.000.089,40
68,15,0.655854756,0.591389991,40,40
68,16,0.655854756,0.591389991,400.000.000.000.038,40
68,17,0.655854756,0.591389991,40,40
68,18,0.655854756,0.591389991,40,40
68,19,0.655854756,0.591389991,400.000.000.000.089,40
69,0,824.648.766.518.569,110.014.654.450.163,764.146.645.038.061,401.348.929.249.402
69,1,824.648.766.518.569,110.014.654.450.163,814.910.324.752.015,399.999.999.999.849
69,2,824.648.766.518.569,110.014.654.450.163,773.692.484.763.928,408.983.463.133.414
69,3,824.648.766.518.569,110.014.654.450.163,871.026.983.090.413,391.744.925.769.295
69,4,824.648.766.518.569,110.014.654.450.163,922.024.141.204.146,400.344.950.278.232
69,5,824.648.766.518.569,110.014.654.450.163,576.993.976.096.135,40
69,6,824.648.766.518.569,110.014.654.450.163,228.532.255.622.609,39.999.999.992.976
69,7,824.648.766.518.569,110.014.654.450.163,697.276.722.537.077,400.000.000.000.001
69,8,824.648.766.518.569,110.014.654.450.163,662.395.527.878.693,387.155.333.486.702
